% Model,One_8LayerNanosphere_CUBE_PML.mph
% Version,COMSOL 5.5.0.352
% Date,"Jun 22 2020, 19:40"
% Dimension,3
% Nodes,18450
% Expressions,4
% Description,"Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm"
% Length unit,m
% X,Y,Z,ewfd.Ex (V/m) @ lambda0=400,ewfd.Ey (V/m) @ lambda0=400,ewfd.Ez (V/m) @ lambda0=400,ewfd.normE (V/m) @ lambda0=400
-2.4492239999999997E-7,-1.1956504414433772E-9,8.888043386903386E-10,-0.00321357184084712+0.0038525929293770564i,4.840897860446192E-17+5.352966049435161E-16i,2.450862064352175E-16+2.710113247693379E-15i,0.005016922986828842
-2.4492239999999997E-7,-1.8316014018884482E-9,6.1447669715362866E-9,-0.003366669573673847-0.0013359689374076028i,9.877705460015658E-17-4.2654060513555256E-17i,1.2391143340973283E-15-5.350762685094011E-16i,0.0036220542541518116
-2.449223999999999E-7,-6.464583885481078E-9,1.4267900082618893E-9,-0.0032309481893632026+0.0033159494072441853i,1.645332685578761E-17+1.2672553256728166E-15i,1.389424485087803E-17+1.0701517047467896E-15i,0.004629745854121198
-2.4396191999999995E-7,-1.195650441443385E-9,8.888043386903226E-10,-0.0011743860648534715+0.0037846330222053113i,2.5670335789284473E-5+1.0382017514708777E-5i,0.019381917981784774+0.012971971334664448i,0.02366750106820012
-2.4396191999999995E-7,-1.831601401888447E-9,6.1447669715362824E-9,-3.048851881078117E-4-0.0013756410631672914i,3.782633487471788E-5+2.2721124807488768E-5i,0.019168118842691175+0.012896115096681593i,0.023156061506214607
-2.439619199999999E-7,-6.46458388548107E-9,1.426790008261884E-9,-0.0010916086727537934+0.0032546983781198005i,1.651478613239396E-4+2.5900749168667182E-5i,0.019351525456530353+0.012963329237483575i,0.02355539424727594
-2.4492239999999997E-7,2.760325798731549E-9,3.1559125067223766E-9,-0.003281774451687758+0.0016155772039790964i,-7.970148062719424E-17+2.3426168699141834E-16i,-3.0751685731922827E-16+9.038654891603335E-16i,0.0036578864462647547
-2.4396191999999995E-7,2.7603257987315583E-9,3.1559125067223766E-9,-7.976045219885358E-4+0.0015629505692268898i,-7.025279098603502E-5-4.913891771165212E-6i,0.01929768938785237+0.012944966042292746i,0.023314551563329556
-2.449223999999999E-7,2.0124485851756653E-9,-1.249102110853491E-10,-0.003180354333307873+0.004851102394703824i,-6.177508401118485E-16-2.9695914397205886E-15i,-3.6509551729185183E-16-1.7550514745296722E-15i,0.005800676523414432
-2.4396191999999995E-7,2.0124485851756624E-9,-1.2491021108535967E-10,-0.0013425419158839453+0.004775952589810683i,-5.4968568499906384E-5+5.835564251815755E-6i,0.019409223982098326+0.012979878880961535i,0.023881497707546974
-2.4492239999999997E-7,2.2722180704476033E-10,-1.2837272821537314E-9,-0.0031424841474764764+0.005992242706326027i,-6.216893090697206E-16-1.9927870761703066E-15i,-4.1803044439469315E-16-1.3399710351815806E-15i,0.006766252971080702
-2.4396191999999995E-7,2.272218070447736E-10,-1.2837272821537314E-9,-0.0015359360140186783+0.005906913980230634i,-1.1275085592530594E-5+7.5499461286381275E-6i,0.01943714509760759+0.012987398654339967i,0.024171016855456244
-2.449223999999999E-7,-2.164114398102794E-9,-2.8379512635109403E-9,-0.003089544014291971+0.007517991780114365i,1.937460281947339E-15+4.640831365249351E-15i,2.906520490229992E-16+6.962037663678873E-16i,0.008128067582280215
-2.439619199999999E-7,-2.164114398102789E-9,-2.8379512635109457E-9,-0.001797189728001108+0.007418197680047125i,5.729564262031538E-5+3.3743599892603587E-6i,0.019477646422820905+0.012997780699763912i,0.02463913444296265
-2.4492239999999997E-7,1.8006746454764673E-9,-3.5635542269396495E-9,-0.00306297121260648+0.008230312749948891i,1.446599616431088E-15+3.161559987939578E-15i,-1.7042545193037875E-15-3.724667721666529E-15i,0.008781790285085798
-2.4396191999999995E-7,1.8006746454764673E-9,-3.563554226939649E-9,-0.0019173605955748565+0.008123259081545707i,-5.46783400856599E-5+1.2217227514492743E-5i,0.01948918372944437+0.012998340085824678i,0.02487870628675427
-2.4492239999999997E-7,5.505267958971353E-9,-6.463087824660313E-10,-0.00316204637679573+0.005359382789319824i,9.068246728709924E-16+3.516731517264355E-15i,-1.194647425569508E-16-4.63292892132931E-16i,0.006222661903997721
-2.4492239999999997E-7,7.694657180186583E-9,4.461763622984465E-9,-0.003317398191413048+3.220919020613325E-4i,-4.630928968899825E-16+5.626877012815361E-16i,5.398429865615935E-16-6.559440043267766E-16i,0.0033329977428381264
-2.4396191999999995E-7,5.505267958971353E-9,-6.463087824660366E-10,-0.001431879079385161+0.005282258505650735i,-1.5188669276849527E-4+4.306009025639383E-6i,0.019415787734585507+0.012982761585024543i,0.024000281028159782
-2.4396191999999995E-7,7.694657180186581E-9,4.4617636229844545E-9,-5.870050304296496E-4+2.805693007616785E-4i,-1.8497356424579617E-4-3.9216919227160365E-5i,0.019223902082588822+0.012917592701048279i,0.023181544993598285
-2.449223999999999E-7,3.553514245961828E-9,9.064569530708659E-9,-0.0034390486736253704-0.004218514879295671i,-1.3384292001584497E-15-1.3623919971358E-16i,1.9690179706610353E-16+2.004270621955641E-17i,0.005442694513419193
-2.4396191999999995E-7,3.5535142459618256E-9,9.064569530708654E-9,1.7378976672367865E-4-0.004249818514016264i,-7.464563686795177E-5-3.0424257808906807E-5i,0.01901132075906397+0.012831948744213494i,0.02333750873326531
-2.449223999999999E-7,-2.1824887093389233E-9,1.1940125504220969E-8,-0.0035051694398225554-0.007053539602209679i,2.1603295408121795E-15+7.260024736950233E-16i,-1.7314539595080506E-15-5.818741233429143E-16i,0.00787646073574967
-2.439619199999999E-7,-2.1824887093389233E-9,1.1940125504220964E-8,6.404260662004955E-4-0.007084400640062267i,3.68920816163101E-5+3.8124485431879944E-5i,0.018839464754038544+0.012755262842465915i,0.02384596192533146
-2.4492239999999997E-7,1.8425885369482007E-9,1.4506773471605243E-8,-0.0035554471883222083-0.0095762846195163i,-1.7791341696816195E-15-8.157246706440849E-16i,-3.3905074563687585E-15-1.5545317634238075E-15i,0.010215010123486554
-2.4396191999999995E-7,1.8425885369482047E-9,1.450677347160525E-8,0.001054563421598903-0.009610574738272348i,-3.209177860099524E-5-2.1820544838013313E-5i,0.018664339316026936+0.012675620182582698i,0.024553326834298565
-2.4492239999999997E-7,1.3538123916879716E-8,5.342371166391435E-9,-0.0033382606156716547-5.546359781694813E-4i,0,0,0.003384022016244059
-2.4492239999999997E-7,1.017840054737635E-8,1.029815848985135E-8,-0.0034641055428878856-0.005431126044996552i,-2.4227646782053634E-15-5.357508398438531E-16i,-2.09976420996555E-15-4.643250948319101E-16i,0.006441828725517815
-2.4396191999999995E-7,1.3538123916879716E-8,5.342371166391441E-9,-4.56465076212686E-4-5.821175399943657E-4i,-3.1318785989993303E-4-8.785670842531465E-5i,0.019138332500328144+0.012878784515800075i,0.02309294969781782
-2.4396191999999995E-7,1.0178400547376345E-8,1.0298158489851339E-8,3.632650660627278E-4-0.005454166003061377i,-1.9791755966269115E-4-1.1542263787133618E-4i,0.018906345910033717+0.012785096624921744i,0.023479193250974792
-2.4492239999999997E-7,6.408514486597438E-9,1.3993432480402562E-8,-0.00354367768251751-0.009067624477502697i,-5.114791900433277E-15-2.2403585265749697E-15i,-1.846839654426954E-15-8.089445372472922E-16i,0.009735474574081054
-2.449223999999999E-7,4.877874725807397E-9,2.040569674122163E-8,-0.0036477604846041965-0.015327076404143658i,-1.482017565468731E-15-9.122055407854565E-16i,3.063434204625492E-15+1.885592802948477E-15i,0.01575517145738177
-2.4396191999999995E-7,6.408514486597441E-9,1.3993432480402547E-8,9.676647872451944E-4-0.009098037321723684i,-1.0764468726513415E-4-9.293690045483131E-5i,0.018687251937321986+0.012686357923354902i,0.0243773828710435
-2.439619199999999E-7,4.8778747258073995E-9,2.040569674122162E-8,0.0019840451706904334-0.015385177397195441i,-5.8620598202199104E-5-9.912437175590902E-5i,0.018188553051289528+0.012456010640744636i,0.026960854783078865
-2.4492239999999997E-7,1.6067360067369536E-8,1.1351647417311532E-8,-0.0034821662708340623-0.0064572331755951146i,9.619084350394351E-16+2.879190001287681E-16i,-1.8765812009141415E-15-5.616993919026105E-16i,0.007336303035026605
-2.4396191999999995E-7,1.606736006736954E-8,1.1351647417311533E-8,5.131038321742621E-4-0.006468815111156482i,-2.9884466913032216E-4-2.0544314437865926E-4i,0.018786481668865297+0.012731880022287041i,0.023615343995746496
-2.4492239999999997E-7,-7.348319722497584E-9,9.604916223946457E-9,-0.0034531313707177346-0.004751305453500994i,1.6925120005231234E-15+2.6780329484565106E-16i,-6.774511089841995E-16-1.0719193661654044E-16i,0.00587358661942626
-2.4396191999999995E-7,-7.3483197224975855E-9,9.604916223946452E-9,2.52925628088724E-4-0.004779625886554862i,1.4286061193692274E-4+9.233438351468632E-5i,0.01896698871456501+0.012810727193286834i,0.023393214792690218
-2.4492239999999997E-7,-1.4045608763933284E-8,7.465853065620243E-9,-0.0033995974353225222-0.002645793589896832i,1.1909143468970267E-15-1.4849590547884044E-16i,-1.3813857893385694E-15+1.7224591687715251E-16i,0.00430784011339681
-2.4396191999999995E-7,-1.4045608763933282E-8,7.465853065620231E-9,-1.1761099799481542E-4-0.002667209078089756i,2.9959437634208296E-4+1.3825975531048427E-4i,0.019032317465835186+0.012834663854858167i,0.023122812996738105
-2.4492239999999997E-7,-1.2820039790773218E-8,1.474075075684639E-8,-0.0035580605743418398-0.009784933147765499i,0,0,0.010411758341266177
-2.4396191999999995E-7,-1.2820039790773213E-8,1.4740750756846389E-8,0.001063270692351589-0.009809982554584134i,2.015753015295919E-4+2.2078205976370794E-4i,0.01859272895443094+0.01264284412512851i,0.02456299297313817
-2.4492239999999997E-7,-2.1577241557823853E-9,1.8188623521938407E-8,-0.0036185441565733615-0.013177539654229941i,2.7652474016278707E-15+1.5737589642810416E-15i,-2.634798241545568E-15-1.4995176739930177E-15i,0.013665336188761467
-2.4492239999999997E-7,-1.7240622376331438E-9,2.5554994713706756E-8,-0.0037047638159950214-0.020288266796656795i,9.88009581813092E-16+6.828924661263923E-16i,4.471957426822941E-15+3.090927549519523E-15i,0.020623749526810894
-2.4396191999999995E-7,-2.1577241557823866E-9,1.8188623521938397E-8,0.0016380831701766224-0.013225018541450438i,2.66366853429942E-5+5.158141170002247E-5i,0.018382787328671463+0.012543997387462832i,0.0259453558306085
-2.4396191999999995E-7,-1.7240622376331348E-9,2.555499471370675E-8,0.0027779767998828988-0.02038863674230727i,1.1166065965249784E-5+5.393258617569466E-5i,0.017706565702796013+0.012224339312314215i,0.02977521639030863
-2.4492239999999997E-7,-6.248628475778439E-9,1.512814891146723E-8,-0.0035674673366384545-0.010181207468094419i,4.035231704329324E-15+1.9411306356201823E-15i,-2.4597326538327692E-15-1.1832436795804005E-15i,0.01078813277200294
-2.4396191999999995E-7,-6.2486284757784345E-9,1.5128148911467222E-8,0.0011461709538095536-0.010215237904565386i,9.43167110418878E-5+1.1482039169660144E-4i,0.018606418813586913+0.012646947838704578i,0.02474226059894452
-2.4492239999999997E-7,-8.44932728594479E-9,2.1559966329764457E-8,-0.0036631290038882827-0.01643179498194124i,-5.740060782183798E-16-3.6473349624567243E-16i,2.8314688495234736E-15+1.7991648036251422E-15i,0.016835153709654004
-2.4396191999999995E-7,-8.449327285944789E-9,2.1559966329764447E-8,0.002152050748224437-0.01649564234084479i,8.84179062712369E-5+2.039933245588624E-4i,0.018070444656761993+0.012397225170928521i,0.02751836243946941
-2.4492239999999997E-7,-3.281176192087857E-8,2.4012E-7,0,0,0,0
-2.4492239999999997E-7,-2.829310781770572E-9,1.8264352047116963E-7,-1.0533017783125925E-4-0.052574329798006546i,4.706203309580688E-16+4.687383703237915E-16i,8.925796293076948E-16+8.890102983315016E-16i,0.05257443530991009
-2.449223999999999E-7,2.918245028684664E-8,2.4011999999999996E-7,0,0,0,0
-2.4396191999999995E-7,-3.2811761920878546E-8,2.4012E-7,-1.6126571885534045E-21-2.583175318191383E-21i,2.536225126091151E-5+5.86642212661751E-6i,-0.015036256717514665-6.458294954639702E-4i,0.01505018904811573
-2.4396191999999995E-7,-2.8293107817705708E-9,1.8264352047116963E-7,0.007422259473393242-0.05463685517052208i,-8.120337822402465E-5+1.3005826335416558E-4i,-0.011173633251327666+4.5847757689540335E-4i,0.0562624572023578
-2.4396191999999984E-7,2.9182450286846537E-8,2.4012E-7,2.3718785110431265E-18+2.593802724964834E-18i,-3.751205562145214E-5-1.4583140407556076E-5i,-0.015061774225421931-6.916880448550019E-4i,0.015077822499558524
-2.4492239999999997E-7,-8.199478878634178E-9,-3.4269220028064615E-9,-0.003069655675882978+0.008079364779044845i,-7.708473641920818E-16-1.71550739853947E-15i,-2.437260619381132E-15-5.424081107288259E-15i,0.008642853764894494
-2.4396191999999995E-7,-8.199478878634176E-9,-3.4269220028064665E-9,-0.0019045063786243678+0.007979010062392846i,2.4046197967000205E-4-9.618007788620282E-6i,0.019467820534164983+0.01298672225811566i,0.02480922353121834
-2.4492239999999997E-7,-9.58836297409558E-8,2.4012E-7,0,0,0,0
-2.4492239999999997E-7,-6.764517287815693E-8,1.8540258147412568E-7,-1.8486301008952683E-5-0.0456964881522503i,0,0,0.04569649189152355
-2.4396191999999995E-7,-9.588362974095575E-8,2.4012E-7,2.6672899863285194E-21-1.2185565305195835E-20i,1.9178147985300133E-5+2.9926667094873117E-5i,-0.012633001443128788+4.6816101144965126E-4i,0.012641888508945272
-2.4396191999999995E-7,-6.764517287815694E-8,1.8540258147412568E-7,0.0064167291443947795-0.04770139629356548i,-0.0022118963296451706+0.002764392528486365i,-0.01052237327398716+9.783565971330356E-4i,0.049405115632916434
-2.449223999999999E-7,-1.4161725752603874E-8,4.0476994068680453E-10,-0.003198648849678489+0.00429404731468507i,-1.7643138572648186E-16-1.2068181664817432E-15i,-3.5398978966813864E-17-2.421345313145383E-16i,0.005354455789742182
-2.439619199999999E-7,-1.416172575260388E-8,4.0476994068679393E-10,-0.0012822413205519946+0.00423911504236917i,3.782288527472792E-4+3.622736625027369E-5i,0.01932830074623366+0.012945878437853752i,0.02369489697305788
-2.4492239999999997E-7,-2.0411508180299883E-8,1.2698830417008553E-8,-0.003513487369921457-0.007763628216848749i,9.470966929277138E-16+3.5694360935026007E-16i,2.125128409579546E-15+8.009224512264202E-16i,0.008521649874762966
-2.4396191999999995E-7,-2.041150818029989E-8,1.2698830417008536E-8,6.976288307801479E-4-0.007767457753449243i,3.5291040275666527E-4+3.0609512309249555E-4i,0.018645210225354644+0.012660462428481659i,0.02386118443714057
-2.449224E-7,-2.4100127001157876E-8,4.983174085474738E-9,-0.003329689829678147-2.3257802663324172E-4i,4.747752434419212E-16-4.1277974300901572E-16i,-3.624217764397181E-16+3.150972377058204E-16i,0.0033378027054238395
-2.4396192E-7,-2.4100127001157866E-8,4.983174085474732E-9,-5.748521186928044E-4-2.3101105028071233E-4i,5.550032848130323E-4+1.705791121160337E-4i,0.019015299278024412+0.012814618893303093i,0.022956585318491485
-2.4492239999999997E-7,-1.6562880913148694E-7,2.4012E-7,0,0,0,0
-2.4492239999999997E-7,-1.3014988575451621E-7,1.7982955598223634E-7,4.2369899289815026E-5-0.03607624838696327i,-3.960345062532991E-16-3.969658488036706E-16i,4.063718691015753E-16+4.073275217202039E-16i,0.036076273267706516
-2.439619199999999E-7,-1.6562880913148694E-7,2.4012E-7,2.619986071011436E-22+1.7439100243840078E-20i,5.349828859113366E-5+5.1914604186994914E-5i,-0.007443908720625343+0.001075768494561169i,0.007522736630857614
-2.4396191999999995E-7,-1.301498857545162E-7,1.798295559822363E-7,0.005038809275937676-0.03794333313659272i,-0.004295816281101432+0.005118689553279235i,-0.007368406890069478+0.0018253086427626206i,0.03959140312932262
-2.4492239999999997E-7,-1.89209320475025E-7,1.8948518846452938E-7,7.97166974803446E-5-0.0155503841484433i,5.016959328764172E-16+5.068661743071759E-16i,-2.3740926331945193E-16-2.398558911049764E-16i,0.015550588474910323
-2.4492239999999997E-7,-2.4012E-7,2.4012E-7,0,0,0,0
-2.4396191999999995E-7,-1.8920932047502498E-7,1.8948518846452938E-7,0.002182323156337476-0.016501373496930927i,-0.004864563726389324+0.0051738110906149526i,-0.00413673727308435+0.001188095951951999i,0.018602430021382756
-2.4396191999999995E-7,-2.4012000000000006E-7,2.4012000000000006E-7,2.7309084758303383E-34-1.724309153334197E-33i,3.9526836564789786E-5+5.738421395765771E-5i,-3.9742186214644006E-5-5.769685396270052E-5i,1.3973986605867535E-4
-2.4492239999999997E-7,-5.935665480646017E-9,-7.586026294176066E-9,-0.002913769674476558+0.012147369141127531i,-1.5195851881188549E-15-2.4786307379970132E-15i,-2.222954211576835E-15-3.6259123088684E-15i,0.012491942633822679
-2.4396191999999995E-7,-5.935665480646015E-9,-7.58602629417607E-9,-0.00259771028035283+0.011995272297667852i,1.9187706397644398E-4-3.131564637470821E-5i,0.019535846335839747+0.01298672958719225i,0.026484609106013517
-2.4300144E-7,-1.1956504414433931E-9,8.888043386903068E-10,0.011114562670777041-0.008295090136986025i,4.323870554842848E-5-1.8109833938819715E-5i,0.024721528710126964+0.03755141070942017i,0.0470594220193144
-2.4300144E-7,-1.8316014018884457E-9,6.144766971536276E-9,0.015209045323844194-0.012682773419161705i,6.791122136041647E-5-5.437271196331803E-6i,0.023396639528474924+0.03770788678545353i,0.04860504477480973
-2.4300144E-7,-6.464583885481062E-9,1.4267900082618787E-9,0.011523767668383747-0.008720339005465734i,3.08954551915099E-4-9.452097362113656E-5i,0.024580525260634062+0.03755490251814706i,0.04716457053699409
-2.4300144E-7,2.7603257987315678E-9,3.1559125067223766E-9,0.012898371647870341-0.010182197970386315i,-1.360141243434169E-4+4.150889332698125E-5i,0.024165987640243886+0.037634549057468346i,0.04765931886404088
-2.4300144E-7,2.01244858517566E-9,-1.2491021108537027E-10,0.010306083841572953-0.007447633069276117i,-1.0573591797570832E-4+4.790685545537927E-5i,0.024952784836980088+0.03749634640322135i,0.046811227200834686
