% Model,One_8LayerNanosphere_CUBE_PML.mph
% Version,COMSOL 5.5.0.352
% Date,"Jun 22 2020, 19:25"
% Dimension,3
% Nodes,4365
% Expressions,4
% Description,"Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm"
% Length unit,m
% X,Y,Z,ewfd.Ex (V/m) @ lambda0=400,ewfd.Ey (V/m) @ lambda0=400,ewfd.Ez (V/m) @ lambda0=400,ewfd.normE (V/m) @ lambda0=400
-2.4492239999999997E-7,-1.7605842467975871E-7,-1.698044505917732E-7,8.998436711839802E-4+0.023777688471322105i,0,0,0.023794709236967238
-2.4492239999999997E-7,-2.4012E-7,-2.4012E-7,0,0,0,0
-2.4492239999999997E-7,-1.440720000000001E-7,-2.4011999999999996E-7,0,0,0,0
-2.4396191999999995E-7,-1.7605842467975871E-7,-1.6980445059177318E-7,-0.006112197078727446+0.02325998464568905i,0.005999641234713757-0.00935213195568001i,-0.003340684615485601-0.003814384637293758i,0.026979764385758227
-2.4396191999999995E-7,-2.4012000000000006E-7,-2.4012000000000006E-7,-4.8569545785015604E-33+1.3818547350978417E-32i,-2.5525640567536123E-4-5.327404721901194E-4i,-2.3255350481885082E-4-4.8535770782664605E-4i,0.0011289297643918433
-2.4396192E-7,-1.440720000000001E-7,-2.4012E-7,6.198473329179667E-21-3.541604901639062E-18i,-2.1957350541774924E-4-4.644796307471119E-4i,-0.010465536779620416-0.010258098126540252i,0.014683700383876515
-2.4492239999999997E-7,-2.7827942151899514E-8,-2.75337889725224E-8,-0.002254733346536543+0.030507723400749254i,1.7410427400663813E-16+2.0189310001224302E-16i,-3.4840138343262336E-15-4.040098139525547E-15i,0.030590930184625102
-2.4492239999999997E-7,-4.638356125163647E-8,-1.5425924906101357E-8,-0.0027618767052861614+0.018661202918730135i,-6.830220118450711E-16-9.203179272049926E-16i,-1.757240506157698E-15-2.3677420524985013E-15i,0.01886447606771056
-2.4492239999999997E-7,-5.3054410748653854E-8,-4.6654123398887996E-8,-0.0013515269757105833+0.04421723218208834i,1.4692297467928928E-15+1.5618774065827791E-15i,-6.679172841911158E-16-7.100352534526288E-16i,0.04423788248787211
-2.4396191999999995E-7,-2.7827942151899495E-8,-2.7533788972522386E-8,-0.006308746773180375+0.030126931258088425i,0.0012795822305737942-7.132417734179132E-4i,0.018768012948140685+0.012642007254487234i,0.038234308642634315
-2.4396191999999995E-7,-4.6383561251636465E-8,-1.5425924906101347E-8,-0.004313563002002458+0.018693928331110325i,0.0017134600320259648-5.77639154575835E-4i,0.018718162725661073+0.012772173176419026i,0.029752095612673134
-2.4396191999999995E-7,-5.305441074865384E-8,-4.665412339888798E-8,-0.009250740942789078+0.043537828921393296i,0.0029088389180640297-0.0023705936611368105i,0.016675449884418284+0.011188513529894265i,0.04897543808165928
-2.4492239999999997E-7,-8.790403789478195E-8,-1.548557463712598E-7,0.002638709589047027+0.056474224322707024i,0,0,0.0565358364327155
-2.4396191999999995E-7,-8.790403789478195E-8,-1.548557463712598E-7,-0.012835635789200729+0.053800204287987506i,0.00478408070850081-0.007269814353297107i,-0.005010228129968306-0.005861668492620792i,0.05654014301785258
-2.4492239999999997E-7,-1.0414401582006224E-7,-6.953677896238378E-8,-5.03840806897271E-4+0.04804958770212919i,0,0,0.0480522292292803
-2.4492239999999997E-7,-4.496100442932453E-8,-9.676167587515382E-8,0.0015873102005373979+0.0704849018877592i,1.1070325474664104E-15+1.0582702296741506E-15i,1.806761972683099E-15+1.7271781323627979E-15i,0.0705027726249101
-2.4396191999999995E-7,-1.0414401582006221E-7,-6.953677896238377E-8,-0.011008775584903168+0.04765734000101348i,0.005724848818883708-0.006146141132484042i,0.01190107839622327+0.00805440832270319i,0.05166861613282825
-2.4396191999999995E-7,-4.496100442932453E-8,-9.676167587515382E-8,-0.01463493895116428+0.06776190882164201i,0.003200099533701375-0.003875406075826667i,0.008340801599355461+0.004634986648054847i,0.0701589602288175
-2.4492239999999997E-7,-4.802400000000009E-8,-2.4011999999999996E-7,0,0,0,0
-2.4396192E-7,-4.8024000000000086E-8,-2.4012E-7,-1.8257412401833542E-19-5.945353515513455E-18i,-9.599976266878808E-5-2.786721066407433E-4i,-0.018532524830733466-0.017451766011133536i,0.025461964243504793
-2.4492239999999997E-7,-2.4012000000000006E-7,-1.4407199999999997E-7,0,0,0,0
-2.4396191999999995E-7,-2.4012E-7,-1.4407199999999994E-7,1.1897135790053425E-20-2.1142285091076455E-20i,0.007424771493548514-0.011631661388994519i,-5.588349848343276E-5-1.9971104483766005E-4i,0.013805482119120971
-2.4492239999999997E-7,-1.656894960551957E-7,-9.659616505669611E-8,5.44413346966951E-5+0.03373118209149869i,-4.710863283476057E-16-4.695681341648855E-16i,3.0048486638727996E-16+2.9951647832612613E-16i,0.03373122602498708
-2.4396191999999995E-7,-1.6568949605519568E-7,-9.65961650566961E-8,-0.008533733142957602+0.03381640840099449i,0.007710234611321206-0.010163223846841327i,0.005013201689345351+0.00312937739906045i,0.03760973724097721
-2.4300144E-7,-1.7605842467975871E-7,-1.698044505917732E-7,-0.024903113309214592+0.022902239004133525i,0.013140504809636116-0.01239316572861155i,-0.004475761600416144-0.008332117664871692i,0.03951532188699141
-2.4300144E-7,-2.4012E-7,-2.4012E-7,-2.801576830840188E-19+7.732487058356521E-19i,-3.8990858012569207E-4-8.32974380890087E-4i,-3.552295059051046E-4-7.588883467499218E-4i,0.0017576284336864624
-2.4300144E-7,-1.4407200000000015E-7,-2.4012E-7,-2.3067554275357485E-19+6.549886815506732E-18i,-4.6686891739330965E-4-7.347014939216584E-4i,-0.01839834079198738-0.019390940025136885i,0.02677394587496723
-2.449223999999999E-7,-2.5948466393202916E-8,-3.7109813996990816E-9,-0.003138439209098117+0.008096312978244593i,4.706149815123606E-16+1.0664335033791048E-15i,-4.92685230318268E-17-1.116445623007971E-16i,0.008683322204714981
-2.439619199999999E-7,-2.5948466393202906E-8,-3.710981399699082E-9,-0.002215606215381341+0.00815437539611283i,7.792464345301051E-4-3.600401301123121E-5i,0.01925217539668388+0.013180836484090271i,0.024837416545530525
-2.4492239999999997E-7,-8.247147391901966E-8,-1.522217157293445E-8,-0.002718744969751338+0.016303324417201476i,-2.9937948196267567E-16-4.192118939679753E-16i,-4.567152318874034E-16-6.395243124490783E-16i,0.01652845913154236
-2.4396191999999995E-7,-8.247147391901964E-8,-1.522217157293443E-8,-0.0043736492496943506+0.016701069310164754i,0.0027143541653944434-9.066707587145117E-4i,0.01726729860607343+0.012029715684216668i,0.02737645299745521
-2.449223999999999E-7,-5.4462660998089574E-8,1.0136004301622444E-8,-0.0033554527524364947-0.00539672573333972i,9.322296447463542E-17+2.1742417489660886E-17i,-1.760074703430089E-17-4.105027042492334E-18i,0.006354818000125952
-2.439619199999999E-7,-5.446266099808957E-8,1.0136004301622455E-8,-1.081619730032227E-4-0.0051342431966512345i,9.572085535715794E-4+7.286193009294547E-4i,0.017898400335043908+0.012572417572973574i,0.022509188929814166
-2.4492239999999997E-7,-1.527288872572439E-7,-2.055936334951643E-9,-0.0022592572911295946+0.0028215837329283876i,-5.7516515075250795E-18-5.196843819408149E-17i,-1.038845749466169E-17-9.386380773188988E-17i,0.0036146339053143854
-2.4396191999999995E-7,-1.527288872572439E-7,-2.055936334951638E-9,-0.0022379468268536712+0.0036209360660661807i,0.002132997265306403+7.7095632114753E-4i,0.011644508011731836+0.008564413808546287i,0.015253455519618103
-2.4492239999999997E-7,-2.4422059446377186E-8,2.3350033427015376E-8,-0.003537201366482282-0.018391085474959847i,-1.0853787575548502E-15-7.352188702700696E-16i,-6.400861691503348E-16-4.3358452234534704E-16i,0.018728155767568866
-2.4396191999999995E-7,-2.4422059446377172E-8,2.3350033427015386E-8,0.0023631896580175366-0.018318987137494136i,2.2172077940124437E-4+6.616531647178135E-4i,0.01778749919624307+0.012518283125212382i,0.028548136325078726
-2.449224E-7,-3.7473701938728376E-9,4.077331604176134E-9,-0.0033330535835324735+5.135167551352955E-4i,-5.624039674667937E-17+7.672630475398426E-17i,-4.4055308793899784E-17+6.010272409309094E-17i,0.003372379819727212
-2.4396192000000005E-7,-3.747370193872824E-9,4.077331604176151E-9,-7.95541815907316E-4+5.819373706561198E-4i,1.0773415320713155E-4+6.521338710751304E-5i,0.01929389012763261+0.01322252615749593i,0.023422278921647343
-2.4300144E-7,-2.782794215189948E-8,-2.753378897252237E-8,-0.013277462255498144+0.015392090647501999i,0.002353918324989576-0.0017372259829596735i,0.02878514148680375+0.03423164727088183i,0.04921943213438393
-2.4300144E-7,-4.6383561251636465E-8,-1.5425924906101337E-8,-0.0028596004593013998+0.0063362045347576945i,0.0033279338107794175-0.0017649523500589755i,0.026936484678606747+0.03519724169592898i,0.045028793890125644
-2.4300144E-7,-5.305441074865383E-8,-4.6654123398887976E-8,-0.02856247231837702+0.028999524087908554i,0.005266595085855441-0.004811023867158424i,0.028404012388342673+0.028795204591844203i,0.05782647724964271
-2.4492239999999997E-7,-4.5889391835951384E-10,-2.2512613334171554E-8,-0.0024659988623234766+0.026464849257452083i,-1.2142475641060603E-16-1.46378727641431E-16i,3.826869812711516E-16+4.613328867960446E-16i,0.026579492030673633
-2.4396191999999995E-7,-4.5889391835950325E-10,-2.2512613334171544E-8,-0.0054357610325610015+0.026117070867101033i,2.811687543065246E-5-4.999512637717164E-6i,0.019337840445658533+0.013039030931378174i,0.03543882859809375
-2.4492239999999997E-7,1.0976501214458342E-8,-7.245053109234656E-9,-0.003037022740102982+0.011732240570523366i,-8.181954630188581E-16-1.3897460039021392E-15i,6.291476396301877E-16+1.0686388003356163E-15i,0.012118951106780532
-2.4396191999999995E-7,1.0976501214458359E-8,-7.245053109234651E-9,-0.0027841487310456764+0.011697322713856576i,-3.4316821764032284E-4+8.859455381694535E-5i,0.01939936546074976+0.013185370861305282i,0.026369725347841322
-2.449224E-7,-1.4720339990159798E-8,-5.6659579117029924E-8,-6.244777840867639E-4+0.054383251523136424i,-1.821679748166123E-15-1.8640020875101175E-15i,-1.1983206145572556E-15-1.2261607065071439E-15i,0.054386836814908975
-2.4396192E-7,-1.4720339990159776E-8,-5.66595791170299E-8,-0.010825620613553496+0.05290278996820865i,9.569545975277212E-4-7.912195375070951E-4i,0.01614305899093062+0.010576736282118318i,0.05735824322955444
-2.4492239999999997E-7,4.072581987705567E-9,-8.630916086904827E-8,0.0012411039503923184+0.07060311010184256i,-3.866483538230789E-15-3.7328970537315315E-15i,7.481086633966888E-16+7.2226161002676E-16i,0.07061401769527478
-2.4396191999999995E-7,4.072581987705576E-9,-8.630916086904827E-8,-0.014195977464805396+0.06781779068615405i,-2.424167490121699E-4+3.763966474062042E-4i,0.010836932235339308+0.006482815463166319i,0.07043052426926608
-2.4492239999999997E-7,2.332315668739671E-8,-1.6682551165488166E-8,-0.0027064654062916556+0.020669179603153343i,-1.6398419254622206E-16-2.1339961378390566E-16i,1.0029006545170158E-15+1.3051173348750193E-15i,0.02084562161373135
-2.4396191999999995E-7,2.3323156687396714E-8,-1.6682551165488156E-8,-0.004454436504659405+0.020517143415949252i,-9.185375680611944E-4+4.02198051420781E-4i,0.01929440676961094+0.013008109536499696i,0.031362910210434386
-2.4300144E-7,-8.790403789478195E-8,-1.548557463712598E-7,-0.05987520659081425+0.04759615250122583i,0.006969257615113024-0.01154369368654522i,-0.006052883607709711-0.01126170852965064i,0.07877004491127483
-2.4492239999999997E-7,5.023968842778518E-9,-1.5135471893970233E-7,0.003639365677928551+0.0692257368137326i,4.74936011022158E-16+4.2749311288243065E-16i,-8.040959136375442E-16-7.237721655116158E-16i,0.06932133596477968
