time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.571428553162046e-012	-1.972113e-043	6.095238e-004
9.142857106324092e-012	-1.754769e-043	1.219048e-003
1.371428565948614e-011	6.520328e-044	1.828571e-003
1.828571421264818e-011	5.248292e-043	2.438095e-003
2.285714276581023e-011	1.203401e-042	3.047619e-003
2.742857131897227e-011	2.100918e-042	3.657143e-003
3.199999987213431e-011	3.217381e-042	4.266667e-003
6.399999974426862e-011	1.118546e-037	8.533333e-003
1.153329161678702e-010	2.628950e-036	1.537772e-002
1.612475900684617e-010	2.058072e-035	2.149968e-002
2.006791160501047e-010	1.126866e-034	2.675722e-002
2.375008306045179e-010	7.834893e-034	3.166678e-002
2.823768716514658e-010	6.185087e-033	3.765025e-002
3.266751988547150e-010	6.924678e-032	4.355669e-002
3.834424859881547e-010	9.487286e-031	5.112566e-002
4.446670519370527e-010	1.802234e-029	5.928894e-002
5.206508061042916e-010	3.480225e-028	6.942011e-002
6.054351962059249e-010	4.459416e-027	8.072469e-002
6.932959505926627e-010	3.022372e-026	9.243946e-002
7.684259296349895e-010	1.860283e-025	1.024568e-001
8.590920054137961e-010	1.135128e-024	1.145456e-001
9.424619561028454e-010	6.687118e-024	1.256616e-001
1.045303948904643e-009	4.430221e-023	1.393739e-001
1.148951527154555e-009	2.976694e-022	1.531935e-001
1.272286184764790e-009	2.153249e-021	1.696382e-001
1.401767559431062e-009	1.075021e-020	1.869023e-001
1.512598770351396e-009	4.297704e-020	2.016798e-001
1.636197237809740e-009	1.796610e-019	2.181596e-001
1.757587829481478e-009	7.184425e-019	2.343450e-001
1.895930301330450e-009	3.092953e-018	2.527907e-001
2.038767969935748e-009	1.318083e-017	2.718357e-001
2.199235758526999e-009	5.130318e-017	2.932314e-001
2.336744003995341e-009	1.654885e-016	3.115659e-001
2.496744535709370e-009	5.672392e-016	3.328993e-001
2.642405175703323e-009	1.732918e-015	3.523207e-001
2.813534783584763e-009	5.847984e-015	3.751380e-001
2.981884833030020e-009	1.868965e-014	3.975846e-001
3.173826138172714e-009	6.257316e-014	4.231768e-001
3.360638147441910e-009	1.791669e-013	4.480851e-001
3.532010734154307e-009	4.682527e-013	4.709348e-001
3.722180317721239e-009	1.291527e-012	4.962907e-001
3.912689319066311e-009	3.362095e-012	5.216919e-001
4.108001819066311e-009	8.518433e-012	5.477336e-001
4.303314319066310e-009	2.048208e-011	5.737752e-001
4.495124592575125e-009	4.686304e-011	5.993499e-001
4.690437092575125e-009	1.050352e-010	6.253916e-001
4.885749592575125e-009	2.270766e-010	6.514333e-001
5.081062092575124e-009	4.756798e-010	6.774749e-001
5.276374592575124e-009	9.677096e-010	7.035166e-001
5.471687092575124e-009	1.915716e-009	7.295583e-001
5.666999592575124e-009	3.696952e-009	7.555999e-001
5.862312092575124e-009	6.965814e-009	7.816416e-001
6.057624592575123e-009	1.283318e-008	8.076833e-001
6.252937092575123e-009	2.314670e-008	8.337249e-001
6.448249592575123e-009	4.092068e-008	8.597666e-001
6.643562092575123e-009	7.098323e-008	8.858083e-001
6.838874592575122e-009	1.209340e-007	9.118499e-001
7.034187092575122e-009	2.025375e-007	9.378916e-001
7.229499592575122e-009	3.214464e-007	9.639333e-001
7.304687500000000e-009	3.819637e-007	9.739583e-001
7.349624185150244e-009	4.262601e-007	9.799499e-001
7.410126629699510e-009	4.960261e-007	9.880169e-001
7.508987337030048e-009	6.251851e-007	1.000000e+000
7.562911359210342e-009	7.132950e-007	1.000000e+000
7.634810055450733e-009	8.546762e-007	1.000000e+000
7.778607447931515e-009	1.223401e-006	1.000000e+000
7.973919947931515e-009	1.929396e-006	1.000000e+000
8.169232447931515e-009	2.970453e-006	1.000000e+000
8.364544947931515e-009	4.515238e-006	1.000000e+000
8.559857447931514e-009	6.779702e-006	1.000000e+000
8.755169947931514e-009	1.006035e-005	1.000000e+000
8.950482447931514e-009	1.475963e-005	1.000000e+000
9.145794947931514e-009	2.141771e-005	1.000000e+000
9.341107447931514e-009	3.075174e-005	1.000000e+000
9.536419947931513e-009	4.370384e-005	1.000000e+000
9.731732447931513e-009	6.149885e-005	1.000000e+000
9.927044947931513e-009	8.571322e-005	1.000000e+000
1.012235744793151e-008	1.183559e-004	1.000000e+000
1.031766994793151e-008	1.619622e-004	1.000000e+000
1.051298244793151e-008	2.197015e-004	1.000000e+000
1.070829494793151e-008	2.954985e-004	1.000000e+000
1.090360744793151e-008	3.941685e-004	1.000000e+000
1.109891994793151e-008	5.215658e-004	1.000000e+000
1.129423244793151e-008	6.847435e-004	1.000000e+000
1.148954494793151e-008	8.921229e-004	1.000000e+000
1.168485744793151e-008	1.153669e-003	1.000000e+000
1.188016994793151e-008	1.481071e-003	1.000000e+000
1.207548244793151e-008	1.887913e-003	1.000000e+000
1.227079494793151e-008	2.389851e-003	1.000000e+000
1.246610744793151e-008	3.004756e-003	1.000000e+000
1.266141994793151e-008	3.752853e-003	1.000000e+000
1.285673244793151e-008	4.656815e-003	1.000000e+000
1.305204494793151e-008	5.741829e-003	1.000000e+000
1.324735744793151e-008	7.035606e-003	1.000000e+000
1.344266994793151e-008	8.568336e-003	1.000000e+000
1.363798244793151e-008	1.037259e-002	1.000000e+000
1.383329494793151e-008	1.248311e-002	1.000000e+000
1.402860744793151e-008	1.493661e-002	1.000000e+000
1.422391994793151e-008	1.777137e-002	1.000000e+000
1.441923244793151e-008	2.102685e-002	1.000000e+000
1.461454494793151e-008	2.474317e-002	1.000000e+000
1.480985744793151e-008	2.896054e-002	1.000000e+000
1.500516994793151e-008	3.371858e-002	1.000000e+000
1.520048244793151e-008	3.905561e-002	1.000000e+000
1.539579494793151e-008	4.500789e-002	1.000000e+000
1.559110744793151e-008	5.160878e-002	1.000000e+000
1.578641994793151e-008	5.888797e-002	1.000000e+000
1.598173244793151e-008	6.687063e-002	1.000000e+000
1.617704494793152e-008	7.557668e-002	1.000000e+000
