time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.857142829743069e-012	0.000000e+000	9.142857e-004
1.371428565948614e-011	0.000000e+000	1.828571e-003
2.057142848922920e-011	0.000000e+000	2.742857e-003
2.742857131897227e-011	0.000000e+000	3.657143e-003
3.428571414871535e-011	0.000000e+000	4.571428e-003
4.114285697845841e-011	0.000000e+000	5.485714e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.414787362997438e-010	0.000000e+000	1.886383e-002
1.811606517291638e-010	0.000000e+000	2.415475e-002
2.183233260346029e-010	0.000000e+000	2.910978e-002
2.581086106339084e-010	0.000000e+000	3.441448e-002
3.000177984947063e-010	0.000000e+000	4.000237e-002
3.507245744164813e-010	0.000000e+000	4.676327e-002
4.078280939089209e-010	0.000000e+000	5.437708e-002
4.762759792380391e-010	0.000000e+000	6.350347e-002
5.546275264683934e-010	0.000000e+000	7.395034e-002
6.478780138437437e-010	0.000000e+000	8.638374e-002
7.281871444163522e-010	0.000000e+000	9.709162e-002
8.059223870519991e-010	0.000000e+000	1.074563e-001
8.900778300298996e-010	0.000000e+000	1.186770e-001
9.814034893427820e-010	0.000000e+000	1.308538e-001
1.082962790755019e-009	0.000000e+000	1.443950e-001
1.194689211002818e-009	0.000000e+000	1.592919e-001
1.319178900138852e-009	0.000000e+000	1.758905e-001
1.439967376867238e-009	0.000000e+000	1.919957e-001
1.553548386105767e-009	0.000000e+000	2.071398e-001
1.674245807806084e-009	0.000000e+000	2.232328e-001
1.801446916374214e-009	0.000000e+000	2.401929e-001
1.940201762425801e-009	0.000000e+000	2.586936e-001
2.089032025276644e-009	0.000000e+000	2.785376e-001
2.251647673105337e-009	0.000000e+000	3.002197e-001
2.395316278081532e-009	0.000000e+000	3.193755e-001
2.546826999296223e-009	0.000000e+000	3.395769e-001
2.702016015622301e-009	0.000000e+000	3.602688e-001
2.870499389235765e-009	0.000000e+000	3.827333e-001
3.047637693723104e-009	0.000000e+000	4.063517e-001
3.239854745384665e-009	0.000000e+000	4.319806e-001
3.413291280770443e-009	0.000000e+000	4.551055e-001
3.594917759388079e-009	0.000000e+000	4.793224e-001
3.780829214996948e-009	0.000000e+000	5.041106e-001
3.980630236401149e-009	0.000000e+000	5.307507e-001
4.189895994902221e-009	0.000000e+000	5.586528e-001
4.395495126566435e-009	0.000000e+000	5.860660e-001
4.591952576935163e-009	0.000000e+000	6.122603e-001
4.804906839811137e-009	0.000000e+000	6.406543e-001
5.021337370607173e-009	0.000000e+000	6.695117e-001
5.255700145196228e-009	0.000000e+000	7.007600e-001
5.468040372281669e-009	0.000000e+000	7.290720e-001
5.694058739398129e-009	0.000000e+000	7.592078e-001
