2.5n 0.6272m
7.5n 11.5836m
12.5n 46.9714m
17.5n 45.766m
22.5n 11.956m
27.5n 0.686m
85n 0m
887.993n 0.366163m
892.993n 6.60111m
897.993n 26.0484m
902.993n 26.0637m
907.993n 6.58585m
912.993n 0.432276m
917.993n 0.0050856m
970.493n 0m
2811.61n 0.315562m
2816.61n 5.14827m
2821.61n 18.9231m
2826.61n 19.8272m
2831.61n 5.07736m
2836.61n 0.336836m
2841.61n 0.00354564m
2894.11n 0m
5409.42n 0.162329m
5414.42n 2.00506m
5419.42n 8.38097m
5424.42n 8.36895m
5429.42n 2.01408m
5434.42n 0.111225m
5491.92n 0m
7797.6n 0.815246m
7802.6n 13.2873m
7807.6n 52.8652m
7812.6n 52.5367m
7817.6n 13.5144m
7822.6n 0.79091m
7827.6n 0.0162238m
7880.1n 0m
9289.77n 0.0781522m
9294.77n 1.24262m
9299.77n 4.78682m
9304.77n 4.33354m
9309.77n 1.20745m
9314.77n 0.070337m
9319.77n 0.00390761m
9372.27n 0m
12947.8n 0.297062m
12952.8n 4.6829m
12957.8n 18.251m
12962.8n 18.538m
12967.8n 4.6829m
12972.8n 0.257009m
12977.8n 0.0166889m
13030.3n 0m
14649.7n 0.323264m
14654.7n 4.64763m
14659.7n 18.9932m
14664.7n 19.1633m
14669.7n 4.81777m
14674.7n 0.252373m
14679.7n 0.0056713m
14732.2n 0m
16634n 0.190731m
16639n 3.28057m
16644n 12.9722m
16649n 13.1986m
16654n 3.20428m
16659n 0.19836m
16664n 0.00508615m
16716.5n 0m
20342.2n 0.22252m
20347.2n 4.03651m
20352.2n 15.8679m
20357.2n 15.7811m
20362.2n 3.8852m
20367.2n 0.249222m
20372.2n 0.0022252m
20424.7n 0m
23486.7n 0.169283m
23491.7n 2.97252m
23496.7n 12.0453m
23501.7n 11.8155m
23506.7n 3.02089m
23511.7n 0.189435m
23516.7n 0.00604581m
23569.2n 0m
25303.3n 0.294861m
25308.3n 4.94616m
25313.3n 19.3551m
25318.3n 19.5392m
25323.3n 4.95809m
25328.3n 0.328949m
25385.8n 0m
25127.4n 0.00508614m
25132.4n 0.15767m
25137.4n 0.717146m
25142.4n 0.652721m
25147.4n 0.162756m
25209.9n 0m
26391.3n 1.2867m
26396.3n 19.529m
26401.3n 77.8547m
26406.3n 78.7824m
26411.3n 19.9071m
26416.3n 1.16973m
26421.3n 0.019042m
26473.8n 0m
25980.8n 0.260563m
25985.8n 4.3095m
25990.8n 17.0643m
25995.8n 17.1435m
26000.8n 4.38614m
26005.8n 0.258008m
26010.8n 0.00255454m
26063.3n 0m
29669.7n 0.437712m
29674.7n 7.01255m
29679.7n 29.2556m
29684.7n 29.1227m
29689.7n 7.0836m
29694.7n 0.398753m
29699.7n 0.0160418m
29752.2n 0m
31541.4n 0.391783m
31546.4n 6.52695m
31551.4n 25.3784m
31556.4n 25.4284m
31561.4n 6.45401m
31566.4n 0.412623m
31571.4n 0.00833582m
31623.9n 0m
34459.5n 0.0330533m
34464.5n 0.603223m
34469.5n 2.39843m
34474.5n 2.53684m
34479.5n 0.601157m
34484.5n 0.02479m
34542n 0m
37334.6n 0.0852818m
37339.6n 1.28532m
37344.6n 4.74735m
37349.6n 4.72299m
37354.6n 1.25892m
37359.6n 0.0832513m
37417.1n 0m
40240.1n 0.290013m
40245.1n 4.63262m
40250.1n 18.8717m
40255.1n 18.4471m
40260.1n 4.83923m
40265.1n 0.301386m
40270.1n 0.00568653m
40322.6n 0m
41479.1n 2.27551m
41484.1n 38.1724m
41489.1n 150.454m
41494.1n 149.212m
41499.1n 37.7012m
41504.1n 2.25677m
41509.1n 0.034802m
41561.6n 0m
45362.5n 0.128936m
45367.5n 2.45505m
45372.5n 9.19658m
45377.5n 9.46498m
45382.5n 2.28928m
45387.5n 0.144724m
45445n 0m
45977.8n 0.185584m
45982.8n 3.01316m
45987.8n 11.2562m
45992.8n 10.934m
45997.8n 2.79923m
46002.8n 0.162386m
46060.3n 0m
47323.7n 0.11683m
47328.7n 2.06993m
47333.7n 8.06637m
47338.7n 7.79716m
47343.7n 2.12326m
47348.7n 0.139688m
47353.7n 0.00253979m
47406.2n 0m
49425.7n 0.256618m
49430.7n 3.87395m
49435.7n 15.6192m
49440.7n 15.6685m
49445.7n 3.76538m
49450.7n 0.291163m
49455.7n 0.00493496m
49508.2n 0m
50481.8n 0m
52019.8n 0.201531m
52024.8n 3.95624m
52029.8n 15.0404m
52034.8n 15.17m
52039.8n 3.80269m
52044.8n 0.211128m
52102.3n 0m
52865.2n 0.0522396m
52870.2n 1.40097m
52875.2n 5.67512m
52880.2n 5.62051m
52885.2n 1.41522m
52890.2n 0.0831084m
52947.7n 0m
55119.8n 0.137739m
55124.8n 2.29953m
55129.8n 9.5203m
55134.8n 8.99736m
55139.8n 2.25518m
55144.8n 0.1284m
55149.8n 0.00233455m
55202.3n 0m
56845.6n 0.323644m
56850.6n 5.02771m
56855.6n 20.63m
56860.6n 20.3199m
56865.6n 5.11087m
56870.6n 0.274198m
56875.6n 0.00674257m
56928.1n 0m
59258.8n 0.106671m
59263.8n 1.64007m
59268.8n 6.05802m
59273.8n 6.08913m
59278.8n 1.58229m
59283.8n 0.0777809m
59341.3n 0m
62977.9n 0.107515m
62982.9n 1.68952m
62987.9n 6.84804m
62992.9n 6.99944m
62997.9n 1.80142m
63002.9n 0.105321m
63060.4n 0m
64632.8n 0.0847683m
64637.8n 1.26283m
64642.8n 5.14043m
64647.8n 5.15348m
64652.8n 1.32804m
64657.8n 0.071727m
64715.2n 0m
66250.3n 0.034614m
66255.3n 0.620888m
66260.3n 2.54629m
66265.3n 2.55494m
66270.3n 0.696606m
66275.3n 0.0367773m
66332.8n 0m
67267.9n 0.00432m
67272.9n 0.216m
67277.9n 0.851041m
67282.9n 0.870481m
67287.9n 0.20304m
67292.9n 0.01512m
67350.4n 0m
68936.2n 0.687417m
68941.2n 11.3196m
68946.2n 45.1813m
68951.2n 45.3992m
68956.2n 11.6484m
68961.2n 0.637891m
68966.2n 0.00594309m
69018.7n 0m
70149.5n 0.0335338m
70154.5n 0.579937m
70159.5n 2.36512m
70164.5n 2.28621m
