2.5n 0.44942m
7.5n 7.93324m
12.5n 30.8634m
17.5n 30.4922m
22.5n 8.02117m
27.5n 0.36149m
32.5n 0.01954m
85n 0m
585n 0m
1002.5n 0.557495m
1007.5n 10.2164m
1012.5n 40.3665m
1017.5n 41.9288m
1022.5n 10.0155m
1027.5n 0.609355m
1032.5n 0.012965m
1085n 0m
1502.5n 0.392839m
1507.5n 6.05595m
1512.5n 25.0017m
1517.5n 24.4533m
1522.5n 5.91204m
1527.5n 0.400618m
1532.5n 0.007779m
1585n 0m
2002.5n 0.200459m
2007.5n 3.5185m
2012.5n 14.0979m
2017.5n 14.1249m
2022.5n 3.704m
2027.5n 0.24833m
2032.5n 0.00598385m
2085n 0m
2502.5n 0.278388m
2507.5n 4.27112m
2512.5n 18.1203m
2517.5n 17.8068m
2522.5n 4.36141m
2527.5n 0.293436m
2532.5n 0.01254m
2585n 0m
3085n 0m
3502.5n 0.903126m
3507.5n 13.6027m
3512.5n 53.8737m
3517.5n 53.26m
3522.5n 13.4841m
3527.5n 0.826412m
3532.5n 0.0209218m
3585n 0m
4002.5n 0.269734m
4007.5n 4.62533m
4012.5n 18.0998m
4017.5n 18.0109m
4022.5n 4.70196m
4027.5n 0.263604m
4032.5n 0.00613032m
4085n 0m
4502.5n 0.152608m
4507.5n 2.17394m
4512.5n 9.24286m
4517.5n 9.05569m
4522.5n 2.26896m
4527.5n 0.135332m
4532.5n 0.00575879m
4585n 0m
5002.5n 0.145973m
5007.5n 1.63324m
5012.5n 6.47789m
5017.5n 6.51369m
5022.5n 1.6415m
5027.5n 0.112922m
5085n 0m
5502.5n 0.233513m
5507.5n 3.72627m
5512.5n 14.5995m
5517.5n 14.925m
5522.5n 3.56977m
5527.5n 0.19625m
5532.5n 0.00248418m
5585n 0m
6002.5n 0.322104m
6007.5n 5.06776m
6012.5n 20.5545m
6017.5n 20.2302m
6022.5n 5.03126m
6027.5n 0.315661m
6032.5n 0.00858943m
6085n 0m
6502.5n 0.0398981m
6507.5n 0.84836m
6512.5n 3.32204m
6517.5n 3.31574m
6522.5n 0.823161m
6527.5n 0.0482977m
6532.5n 0.0020999m
6585n 0m
