time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.571428553162046e-012	-1.972113e-043	6.095238e-004
9.142857106324092e-012	-1.754769e-043	1.219048e-003
1.371428565948614e-011	6.520328e-044	1.828571e-003
1.828571421264818e-011	5.248292e-043	2.438095e-003
2.285714276581023e-011	1.203401e-042	3.047619e-003
2.742857131897227e-011	2.100918e-042	3.657143e-003
3.199999987213431e-011	3.217381e-042	4.266667e-003
6.399999974426862e-011	1.118880e-037	8.533333e-003
1.153343185179869e-010	2.629900e-036	1.537791e-002
1.612506694524411e-010	2.058881e-035	2.150009e-002
2.006837239772302e-010	1.127338e-034	2.675783e-002
2.375069857506282e-010	7.838120e-034	3.166760e-002
2.823840748644372e-010	6.187891e-033	3.765121e-002
3.266851406570442e-010	6.928462e-032	4.355802e-002
3.834553051490168e-010	9.493592e-031	5.112737e-002
4.446846081559526e-010	1.803695e-029	5.929128e-002
5.206741853729132e-010	3.483624e-028	6.942322e-002
6.054671279663466e-010	4.462964e-027	8.072895e-002
6.933282875991814e-010	3.024367e-026	9.244377e-002
7.684606262558237e-010	1.861483e-025	1.024614e-001
8.591320511108026e-010	1.135921e-024	1.145509e-001
9.425099811753076e-010	6.692443e-024	1.256680e-001
1.045362002602565e-009	4.434165e-023	1.393816e-001
1.149021922977428e-009	2.979711e-022	1.532029e-001
1.272372054508933e-009	2.155700e-021	1.696496e-001
1.401872383780351e-009	1.076376e-020	1.869163e-001
1.512724681707335e-009	4.303044e-020	2.016966e-001
1.636323703118700e-009	1.798732e-019	2.181765e-001
1.757741682386310e-009	7.193846e-019	2.343656e-001
1.896096925800084e-009	3.097085e-018	2.528129e-001
2.038966725367506e-009	1.320024e-017	2.718622e-001
2.199458377783415e-009	5.137323e-017	2.932611e-001
2.336960820405522e-009	1.656871e-016	3.115948e-001
2.496986053158722e-009	5.679568e-016	3.329315e-001
2.642668130638801e-009	1.735187e-015	3.523557e-001
2.813834146088955e-009	5.856191e-015	3.751779e-001
2.982217269116156e-009	1.871727e-014	3.976290e-001
3.174204653515593e-009	6.266422e-014	4.232273e-001
3.361011323549080e-009	1.794027e-013	4.481348e-001
3.532442552672965e-009	4.689412e-013	4.709923e-001
3.722633843759024e-009	1.293380e-012	4.963512e-001
3.913205532523155e-009	3.367167e-012	5.217608e-001
4.108518032523154e-009	8.529255e-012	5.478024e-001
4.303830532523154e-009	2.050598e-011	5.738441e-001
4.495697424046805e-009	4.692046e-011	5.994263e-001
4.691009924046805e-009	1.051429e-010	6.254680e-001
4.886322424046805e-009	2.272739e-010	6.515096e-001
5.081634924046805e-009	4.760229e-010	6.775513e-001
5.276947424046804e-009	9.682722e-010	7.035930e-001
5.472259924046804e-009	1.916575e-009	7.296346e-001
5.667572424046804e-009	3.698140e-009	7.556763e-001
5.862884924046804e-009	6.967205e-009	7.817180e-001
6.058197424046803e-009	1.283424e-008	8.077596e-001
6.253509924046803e-009	2.314600e-008	8.338013e-001
6.448822424046803e-009	4.091499e-008	8.598430e-001
6.644134924046803e-009	7.096587e-008	8.858846e-001
6.839447424046803e-009	1.208920e-007	9.119263e-001
7.034759924046802e-009	2.024471e-007	9.379680e-001
7.230072424046802e-009	3.212266e-007	9.640096e-001
7.304687500000000e-009	3.812434e-007	9.739583e-001
7.350769848093605e-009	4.265476e-007	9.801027e-001
7.407835303812789e-009	4.921736e-007	9.877114e-001
7.509216469618721e-009	6.242880e-007	1.000000e+000
7.564515287331047e-009	7.147124e-007	1.000000e+000
7.638247044280814e-009	8.605275e-007	1.000000e+000
7.785710558180350e-009	1.242089e-006	1.000000e+000
7.981023058180350e-009	1.956183e-006	1.000000e+000
8.176335558180350e-009	3.010112e-006	1.000000e+000
8.371648058180350e-009	4.573206e-006	1.000000e+000
8.566960558180349e-009	6.863388e-006	1.000000e+000
8.762273058180349e-009	1.017972e-005	1.000000e+000
8.957585558180349e-009	1.492795e-005	1.000000e+000
9.152898058180349e-009	2.165240e-005	1.000000e+000
9.348210558180349e-009	3.107541e-005	1.000000e+000
9.543523058180348e-009	4.414549e-005	1.000000e+000
9.738835558180348e-009	6.209528e-005	1.000000e+000
9.934148058180348e-009	8.651055e-005	1.000000e+000
1.012946055818035e-008	1.194113e-004	1.000000e+000
1.032477305818035e-008	1.633459e-004	1.000000e+000
1.052008555818035e-008	2.214984e-004	1.000000e+000
1.071539805818035e-008	2.978102e-004	1.000000e+000
1.091071055818035e-008	3.971155e-004	1.000000e+000
1.110602305818035e-008	5.252887e-004	1.000000e+000
1.130133555818035e-008	6.894047e-004	1.000000e+000
1.149664805818035e-008	8.979074e-004	1.000000e+000
1.169196055818035e-008	1.160785e-003	1.000000e+000
1.188727305818035e-008	1.489748e-003	1.000000e+000
1.208258555818035e-008	1.898403e-003	1.000000e+000
1.227789805818035e-008	2.402421e-003	1.000000e+000
1.247321055818035e-008	3.019688e-003	1.000000e+000
1.266852305818035e-008	3.770433e-003	1.000000e+000
1.286383555818035e-008	4.677329e-003	1.000000e+000
1.305914805818034e-008	5.765548e-003	1.000000e+000
1.325446055818034e-008	7.062776e-003	1.000000e+000
1.344977305818034e-008	8.599162e-003	1.000000e+000
1.364508555818034e-008	1.040721e-002	1.000000e+000
1.384039805818034e-008	1.252161e-002	1.000000e+000
1.403571055818034e-008	1.497893e-002	1.000000e+000
1.423102305818034e-008	1.781735e-002	1.000000e+000
1.442633555818034e-008	2.107616e-002	1.000000e+000
1.462164805818034e-008	2.479532e-002	1.000000e+000
1.481696055818034e-008	2.901481e-002	1.000000e+000
1.501227305818034e-008	3.377403e-002	1.000000e+000
1.520758555818035e-008	3.911103e-002	1.000000e+000
1.540289805818035e-008	4.506178e-002	1.000000e+000
1.559821055818035e-008	5.165933e-002	1.000000e+000
1.579352305818035e-008	5.893306e-002	1.000000e+000
1.598883555818035e-008	6.690780e-002	1.000000e+000
1.618414805818035e-008	7.560312e-002	1.000000e+000
