time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.142857106324092e-012	-2.483959e-042	1.219048e-003
1.828571421264818e-011	-2.207874e-042	2.438095e-003
2.742857131897227e-011	8.282532e-043	3.657143e-003
3.657142842529637e-011	6.624424e-042	4.876191e-003
4.571428553162046e-011	1.518064e-041	6.095238e-003
5.485714263794455e-011	2.649690e-041	7.314286e-003
6.399999974426862e-011	4.057320e-041	8.533333e-003
1.279999994885372e-010	1.730712e-039	1.706667e-002
1.894984301540214e-010	1.844532e-038	2.526646e-002
2.440427897260272e-010	1.289129e-037	3.253904e-002
2.955546488745592e-010	8.417870e-037	3.940729e-002
3.489885435089712e-010	6.118825e-036	4.653181e-002
4.069613378577792e-010	5.943777e-035	5.426151e-002
4.746565949996771e-010	7.810055e-034	6.328755e-002
5.526320233984945e-010	1.315262e-032	7.368427e-002
6.442586492373374e-010	2.547072e-031	8.590116e-002
7.505136077453728e-010	5.528772e-030	1.000685e-001
8.752509905353015e-010	1.269404e-028	1.167001e-001
1.020654962636555e-009	1.145628e-027	1.360873e-001
1.143887517543385e-009	6.327441e-027	1.525183e-001
1.266470473455644e-009	3.454109e-026	1.688627e-001
1.397058435478880e-009	2.008429e-025	1.862745e-001
1.540516697707865e-009	1.252961e-024	2.054022e-001
1.698238751855343e-009	8.274096e-024	2.264318e-001
1.872811592154977e-009	5.733485e-023	2.497082e-001
2.065677981272996e-009	3.588510e-022	2.754237e-001
2.260990481272996e-009	1.852110e-021	3.014654e-001
2.456302981272995e-009	8.091206e-021	3.275071e-001
2.645651036299638e-009	3.146208e-020	3.527535e-001
2.840963536299638e-009	1.164894e-019	3.787951e-001
3.036276036299638e-009	3.954085e-019	4.048368e-001
3.231588536299637e-009	1.251778e-018	4.308785e-001
3.426901036299637e-009	3.726356e-018	4.569201e-001
3.622213536299637e-009	1.050020e-017	4.829618e-001
3.817526036299637e-009	2.816128e-017	5.090035e-001
4.012838536299637e-009	7.221950e-017	5.350451e-001
4.208151036299636e-009	1.777933e-016	5.610868e-001
4.403463536299636e-009	4.216106e-016	5.871285e-001
4.598776036299636e-009	9.658918e-016	6.131701e-001
4.794088536299636e-009	2.143361e-015	6.392118e-001
4.989401036299636e-009	4.617540e-015	6.652535e-001
5.184713536299635e-009	9.677499e-015	6.912951e-001
5.380026036299635e-009	1.976732e-014	7.173368e-001
5.575338536299635e-009	3.941663e-014	7.433785e-001
5.770651036299635e-009	7.684297e-014	7.694201e-001
5.965963536299634e-009	1.466585e-013	7.954618e-001
6.161276036299634e-009	2.743603e-013	8.215035e-001
6.356588536299634e-009	5.036548e-013	8.475451e-001
6.551901036299634e-009	9.082128e-013	8.735868e-001
6.747213536299634e-009	1.610254e-012	8.996285e-001
6.942526036299633e-009	2.809503e-012	9.256701e-001
7.137838536299633e-009	4.770326e-012	9.517118e-001
7.304687500000000e-009	7.503496e-012	9.739583e-001
7.499999999999999e-009	1.190534e-011	1.000000e+000
7.558593749999999e-009	1.392095e-011	1.000000e+000
7.636718749999998e-009	1.725302e-011	1.000000e+000
7.792968749999998e-009	2.632115e-011	1.000000e+000
7.988281249999998e-009	4.309264e-011	1.000000e+000
8.183593749999998e-009	6.906067e-011	1.000000e+000
8.378906249999998e-009	1.094221e-010	1.000000e+000
8.574218749999997e-009	1.714877e-010	1.000000e+000
8.769531249999997e-009	2.659551e-010	1.000000e+000
8.964843749999997e-009	4.083312e-010	1.000000e+000
9.160156249999997e-009	6.208926e-010	1.000000e+000
9.355468749999997e-009	9.353633e-010	1.000000e+000
9.550781249999996e-009	1.396545e-009	1.000000e+000
9.746093749999996e-009	2.067201e-009	1.000000e+000
9.941406249999996e-009	3.034574e-009	1.000000e+000
1.013671875000000e-008	4.419028e-009	1.000000e+000
1.033203125000000e-008	6.385423e-009	1.000000e+000
1.052734375000000e-008	9.157983e-009	1.000000e+000
1.072265625000000e-008	1.303961e-008	1.000000e+000
1.091796875000000e-008	1.843683e-008	1.000000e+000
1.111328125000000e-008	2.589173e-008	1.000000e+000
1.130859374999999e-008	3.612277e-008	1.000000e+000
1.150390624999999e-008	5.007646e-008	1.000000e+000
1.169921874999999e-008	6.899250e-008	1.000000e+000
1.189453124999999e-008	9.448544e-008	1.000000e+000
1.208984374999999e-008	1.286466e-007	1.000000e+000
1.228515624999999e-008	1.741701e-007	1.000000e+000
1.248046874999999e-008	2.345092e-007	1.000000e+000
1.267578124999999e-008	3.140671e-007	1.000000e+000
1.287109374999999e-008	4.184311e-007	1.000000e+000
1.306640624999999e-008	5.546568e-007	1.000000e+000
1.326171874999999e-008	7.316121e-007	1.000000e+000
1.345703124999999e-008	9.603920e-007	1.000000e+000
1.365234374999999e-008	1.254815e-006	1.000000e+000
1.384765624999999e-008	1.632018e-006	1.000000e+000
1.404296874999999e-008	2.113160e-006	1.000000e+000
1.423828124999999e-008	2.724260e-006	1.000000e+000
1.443359374999999e-008	3.497177e-006	1.000000e+000
1.462890624999999e-008	4.470774e-006	1.000000e+000
1.482421874999999e-008	5.692258e-006	1.000000e+000
1.501953124999999e-008	7.218764e-006	1.000000e+000
1.521484374999999e-008	9.119173e-006	1.000000e+000
1.541015625000000e-008	1.147622e-005	1.000000e+000
1.560546875000000e-008	1.438893e-005	1.000000e+000
1.580078125000000e-008	1.797537e-005	1.000000e+000
1.599609375000000e-008	2.237585e-005	1.000000e+000
1.619140625000000e-008	2.775655e-005	1.000000e+000
1.638671875000000e-008	3.431353e-005	1.000000e+000
1.658203125000000e-008	4.227745e-005	1.000000e+000
1.677734375000001e-008	5.191872e-005	1.000000e+000
1.697265625000001e-008	6.355328e-005	1.000000e+000
1.716796875000001e-008	7.754915e-005	1.000000e+000
1.736328125000001e-008	9.433366e-005	1.000000e+000
1.755859375000001e-008	1.144014e-004	1.000000e+000
1.775390625000001e-008	1.383231e-004	1.000000e+000
1.794921875000001e-008	1.667553e-004	1.000000e+000
1.814453125000002e-008	2.004510e-004	1.000000e+000
1.833984375000002e-008	2.402713e-004	1.000000e+000
1.853515625000002e-008	2.871981e-004	1.000000e+000
1.873046875000002e-008	3.423473e-004	1.000000e+000
1.892578125000002e-008	4.069842e-004	1.000000e+000
1.912109375000002e-008	4.825388e-004	1.000000e+000
1.931640625000002e-008	5.706226e-004	1.000000e+000
1.951171875000003e-008	6.730472e-004	1.000000e+000
1.970703125000003e-008	7.918425e-004	1.000000e+000
1.990234375000003e-008	9.292773e-004	1.000000e+000
2.009765625000003e-008	1.087880e-003	1.000000e+000
2.029296875000003e-008	1.270462e-003	1.000000e+000
2.048828125000003e-008	1.480137e-003	1.000000e+000
2.068359375000003e-008	1.720350e-003	1.000000e+000
2.087890625000004e-008	1.994894e-003	1.000000e+000
2.107421875000004e-008	2.307943e-003	1.000000e+000
2.126953125000004e-008	2.664070e-003	1.000000e+000
2.146484375000004e-008	3.068276e-003	1.000000e+000
2.166015625000004e-008	3.526014e-003	1.000000e+000
2.185546875000004e-008	4.043211e-003	1.000000e+000
2.205078125000004e-008	4.626296e-003	1.000000e+000
2.224609375000005e-008	5.282217e-003	1.000000e+000
2.244140625000005e-008	6.018471e-003	1.000000e+000
2.263671875000005e-008	6.843113e-003	1.000000e+000
