time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.142857106324092e-012	-1.286621e-042	1.219048e-003
1.828571421264818e-011	-1.143574e-042	2.438095e-003
2.742857131897227e-011	4.291405e-043	3.657143e-003
3.657142842529637e-011	3.431523e-042	4.876191e-003
4.571428553162046e-011	7.863572e-042	6.095238e-003
5.485714263794455e-011	1.372529e-041	7.314286e-003
6.399999974426862e-011	2.101667e-041	8.533333e-003
1.279999994885372e-010	8.471452e-040	1.706667e-002
1.889981218375133e-010	8.604288e-039	2.519975e-002
2.426380759556128e-010	5.741702e-038	3.235174e-002
2.930697971684706e-010	3.664823e-037	3.907597e-002
3.459935504286050e-010	2.550734e-036	4.613248e-002
4.022432174730762e-010	2.445832e-035	5.363243e-002
4.696166406307270e-010	3.137574e-034	6.261555e-002
5.458557001652890e-010	5.258509e-033	7.278076e-002
6.365652747478444e-010	9.867603e-032	8.487537e-002
7.405085158828021e-010	2.118409e-030	9.873447e-002
8.633543326912267e-010	4.700770e-029	1.151139e-001
1.005380225424472e-009	4.122308e-028	1.340507e-001
1.124982697409015e-009	2.259299e-027	1.499977e-001
1.245513214188884e-009	1.234152e-026	1.660684e-001
1.372994929119031e-009	7.137914e-026	1.830660e-001
1.513790652360437e-009	4.434657e-025	2.018387e-001
1.667773859398741e-009	2.904862e-024	2.223698e-001
1.838672518501759e-009	1.996409e-023	2.451563e-001
2.026780785912432e-009	1.279206e-022	2.702374e-001
2.222093285912432e-009	6.917270e-022	2.962791e-001
2.417405785912432e-009	2.960842e-021	3.223208e-001
2.595315570131506e-009	1.107126e-020	3.460421e-001
2.790628070131506e-009	4.281714e-020	3.720838e-001
2.985940570131506e-009	1.489752e-019	3.981254e-001
3.181253070131506e-009	4.817740e-019	4.241671e-001
3.376565570131506e-009	1.461129e-018	4.502088e-001
3.571878070131505e-009	4.185655e-018	4.762504e-001
3.767190570131505e-009	1.139259e-017	5.022921e-001
3.962503070131505e-009	2.960738e-017	5.283337e-001
