time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.571428553162046e-012	-2.198895e-043	6.095238e-004
9.142857106324092e-012	-1.953238e-043	1.219048e-003
1.371428565948614e-011	7.369686e-044	1.828571e-003
1.828571421264818e-011	5.871727e-043	2.438095e-003
2.285714276581023e-011	1.345104e-042	3.047619e-003
2.742857131897227e-011	2.347490e-042	3.657143e-003
3.199999987213431e-011	3.594331e-042	4.266667e-003
6.399999974426862e-011	5.115274e-038	8.533333e-003
1.126180630591147e-010	1.180578e-036	1.501574e-002
1.563156071361499e-010	9.612530e-036	2.084208e-002
1.944193971206864e-010	5.542354e-035	2.592259e-002
2.302675272082132e-010	4.139073e-034	3.070234e-002
2.739930436806678e-010	3.390166e-033	3.653241e-002
3.169042261871733e-010	3.937619e-032	4.225390e-002
3.720550023815790e-010	5.490448e-031	4.960733e-002
4.313888103060386e-010	1.059807e-029	5.751851e-002
5.051622612326603e-010	2.054900e-028	6.735497e-002
5.873465133188153e-010	2.952260e-027	7.831287e-002
6.756522817979615e-010	2.152547e-026	9.008697e-002
7.507799868107626e-010	1.364737e-025	1.001040e-001
8.402892053394197e-010	8.305012e-025	1.120386e-001
9.218474503049796e-010	4.852445e-024	1.229130e-001
1.022579863204078e-009	3.197544e-023	1.363440e-001
1.123850994368774e-009	2.135914e-022	1.498468e-001
1.244502473814571e-009	1.538573e-021	1.659337e-001
1.370969257022267e-009	7.576649e-021	1.827959e-001
1.477938262516451e-009	3.104821e-020	1.970584e-001
1.603855051721273e-009	1.344141e-019	2.138473e-001
1.720109243455005e-009	5.279436e-019	2.293479e-001
1.858268696192464e-009	2.307843e-018	2.477692e-001
1.996014203906232e-009	9.699699e-018	2.661352e-001
2.154843968812338e-009	3.957455e-017	2.873125e-001
2.296994963001509e-009	1.345728e-016	3.062660e-001
2.454926570297990e-009	4.597587e-016	3.273236e-001
2.599389393032043e-009	1.409687e-015	3.465852e-001
2.766817903403521e-009	4.725665e-015	3.689091e-001
2.932768466239134e-009	1.510985e-014	3.910358e-001
3.120581438304002e-009	4.805725e-014	4.160775e-001
3.285524743764997e-009	1.273894e-013	4.380700e-001
3.461189366407550e-009	3.467748e-013	4.614919e-001
3.638143589926255e-009	9.194916e-013	4.850858e-001
3.830197672986230e-009	2.501057e-012	5.106930e-001
4.025510172986230e-009	6.479719e-012	5.367347e-001
4.220822672986230e-009	1.594715e-011	5.627763e-001
4.414584296252019e-009	3.746484e-011	5.886112e-001
4.609896796252019e-009	8.530863e-011	6.146529e-001
4.805209296252019e-009	1.873109e-010	6.406946e-001
5.000521796252018e-009	3.980402e-010	6.667362e-001
5.195834296252018e-009	8.206069e-010	6.927779e-001
5.391146796252018e-009	1.644791e-009	7.188196e-001
5.586459296252018e-009	3.211220e-009	7.448612e-001
5.781771796252018e-009	6.117031e-009	7.709029e-001
5.977084296252017e-009	1.138608e-008	7.969446e-001
6.172396796252017e-009	2.073753e-008	8.229862e-001
6.367709296252017e-009	3.700152e-008	8.490279e-001
6.563021796252017e-009	6.475054e-008	8.750696e-001
6.758334296252016e-009	1.112416e-007	9.011112e-001
6.953646796252016e-009	1.877984e-007	9.271529e-001
7.148959296252016e-009	3.075006e-007	9.531946e-001
7.304687500000000e-009	4.564962e-007	9.739583e-001
7.499999999999999e-009	7.063971e-007	1.000000e+000
7.558593749999999e-009	8.166849e-007	1.000000e+000
7.636718749999998e-009	9.953721e-007	1.000000e+000
7.792968749999998e-009	1.467156e-006	1.000000e+000
7.988281249999998e-009	2.306187e-006	1.000000e+000
8.183593749999998e-009	3.548819e-006	1.000000e+000
8.378906249999998e-009	5.392214e-006	1.000000e+000
8.574218749999997e-009	8.093886e-006	1.000000e+000
8.769531249999997e-009	1.200749e-005	1.000000e+000
8.964843749999997e-009	1.761317e-005	1.000000e+000
9.160156249999997e-009	2.555566e-005	1.000000e+000
9.355468749999997e-009	3.669130e-005	1.000000e+000
9.550781249999996e-009	5.214564e-005	1.000000e+000
9.746093749999996e-009	7.338297e-005	1.000000e+000
9.941406249999996e-009	1.022892e-004	1.000000e+000
1.013671875000000e-008	1.412694e-004	1.000000e+000
1.033203125000000e-008	1.933617e-004	1.000000e+000
1.052734375000000e-008	2.623674e-004	1.000000e+000
1.072265625000000e-008	3.529985e-004	1.000000e+000
1.091796875000000e-008	4.710432e-004	1.000000e+000
1.111328125000000e-008	6.235469e-004	1.000000e+000
1.130859374999999e-008	8.190094e-004	1.000000e+000
1.150390624999999e-008	1.067594e-003	1.000000e+000
1.169921874999999e-008	1.381346e-003	1.000000e+000
1.189453124999999e-008	1.774417e-003	1.000000e+000
1.208984374999999e-008	2.263289e-003	1.000000e+000
1.228515624999999e-008	2.866988e-003	1.000000e+000
1.248046874999999e-008	3.607287e-003	1.000000e+000
1.267578124999999e-008	4.508880e-003	1.000000e+000
1.287109374999999e-008	5.599526e-003	1.000000e+000
1.306640624999999e-008	6.910147e-003	1.000000e+000
1.326171874999999e-008	8.474872e-003	1.000000e+000
1.345703124999999e-008	1.033102e-002	1.000000e+000
1.365234374999999e-008	1.251898e-002	1.000000e+000
1.384765624999999e-008	1.508208e-002	1.000000e+000
1.404296874999999e-008	1.806624e-002	1.000000e+000
1.423828124999999e-008	2.151969e-002	1.000000e+000
1.443359374999999e-008	2.549239e-002	1.000000e+000
1.462890624999999e-008	3.003556e-002	1.000000e+000
1.482421874999999e-008	3.520094e-002	1.000000e+000
1.501953124999999e-008	4.104005e-002	1.000000e+000
1.521484374999999e-008	4.760332e-002	1.000000e+000
1.541015625000000e-008	5.493923e-002	1.000000e+000
1.560546875000000e-008	6.309327e-002	1.000000e+000
1.580078125000000e-008	7.210703e-002	1.000000e+000
1.599609375000000e-008	8.201717e-002	1.000000e+000
1.619140625000000e-008	9.285443e-002	1.000000e+000
1.638671875000000e-008	1.046428e-001	1.000000e+000
1.658203125000000e-008	1.173986e-001	1.000000e+000
1.677734375000001e-008	1.311299e-001	1.000000e+000
1.697265625000001e-008	1.458357e-001	1.000000e+000
1.716796875000001e-008	1.615058e-001	1.000000e+000
1.736328125000001e-008	1.781206e-001	1.000000e+000
1.755859375000001e-008	1.956508e-001	1.000000e+000
1.775390625000001e-008	2.140577e-001	1.000000e+000
1.794921875000001e-008	2.332938e-001	1.000000e+000
1.814453125000002e-008	2.533032e-001	1.000000e+000
1.833984375000002e-008	2.740225e-001	1.000000e+000
1.853515625000002e-008	2.953820e-001	1.000000e+000
1.873046875000002e-008	3.173063e-001	1.000000e+000
1.892578125000002e-008	3.397161e-001	1.000000e+000
1.912109375000002e-008	3.625292e-001	1.000000e+000
1.931640625000002e-008	3.856619e-001	1.000000e+000
1.951171875000003e-008	4.090306e-001	1.000000e+000
1.970703125000003e-008	4.325526e-001	1.000000e+000
1.990234375000003e-008	4.561479e-001	1.000000e+000
2.009765625000003e-008	4.797396e-001	1.000000e+000
