time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.953124992195698e-015	0.000000e+000	2.604167e-007
3.906249984391395e-015	0.000000e+000	5.208333e-007
4.574776767434381e-012	-1.907482e-043	6.099702e-004
9.145647284884371e-012	-1.696429e-043	1.219420e-003
1.371651780233436e-011	6.331581e-044	1.828869e-003
1.828738831978435e-011	5.081280e-043	2.438318e-003
2.285825883723434e-011	1.164794e-042	3.047768e-003
2.742912935468433e-011	2.033313e-042	3.657217e-003
3.199999987213431e-011	3.113685e-042	4.266667e-003
6.399999974426862e-011	1.945687e-038	8.533333e-003
1.101865910514692e-010	4.371886e-037	1.469155e-002
1.518283170774923e-010	3.665685e-036	2.024378e-002
1.886125910536936e-010	2.201850e-035	2.514835e-002
2.234275502837838e-010	1.748972e-034	2.979034e-002
2.660292732369286e-010	1.465931e-033	3.547057e-002
3.074334186163046e-010	1.727631e-032	4.099112e-002
3.608476060732223e-010	2.397784e-031	4.811301e-002
4.179952393686653e-010	4.574728e-030	5.573270e-002
4.891580293033175e-010	8.664785e-029	6.522107e-002
5.680736373325263e-010	2.017194e-027	7.574315e-002
6.641208263950112e-010	1.793007e-026	8.854944e-002
7.426813351474913e-010	1.061125e-025	9.902418e-002
8.285345141860017e-010	6.035325e-025	1.104713e-001
9.107915190103786e-010	3.416071e-024	1.214389e-001
1.007870678158534e-009	2.156589e-023	1.343828e-001
1.108680830507005e-009	1.405953e-022	1.478241e-001
1.225505037921539e-009	9.833095e-022	1.634007e-001
1.350328407991337e-009	4.872491e-021	1.800438e-001
1.455594320720257e-009	1.979471e-020	1.940793e-001
1.578830595461709e-009	8.481937e-020	2.105107e-001
1.692877567002574e-009	3.303219e-019	2.257170e-001
1.827909090260396e-009	1.427889e-018	2.437212e-001
1.962660486380070e-009	5.936691e-018	2.616881e-001
2.117588383411623e-009	2.430047e-017	2.823451e-001
2.259488223096706e-009	8.410730e-017	3.012651e-001
2.414527115696590e-009	2.858307e-016	3.219369e-001
2.556220879464593e-009	8.721320e-016	3.408295e-001
2.719667914822786e-009	2.898749e-015	3.626224e-001
2.881791130099251e-009	9.197294e-015	3.842388e-001
3.064717173703078e-009	2.898787e-014	4.086290e-001
3.225341511015314e-009	7.647958e-014	4.300455e-001
3.397431224812672e-009	2.078308e-013	4.529908e-001
3.569419973003303e-009	5.467620e-013	4.759227e-001
3.756799183727982e-009	1.489977e-012	5.009066e-001
3.950026686943050e-009	3.924453e-012	5.266702e-001
4.145339186943050e-009	9.892158e-012	5.527119e-001
4.340651686943050e-009	2.374850e-011	5.787535e-001
4.533678824743418e-009	5.443535e-011	6.044905e-001
4.728991324743418e-009	1.215498e-010	6.305322e-001
4.924303824743417e-009	2.620280e-010	6.565738e-001
5.119616324743417e-009	5.474338e-010	6.826155e-001
5.314928824743417e-009	1.110931e-009	7.086572e-001
5.510241324743417e-009	2.194214e-009	7.346988e-001
5.705553824743416e-009	4.225466e-009	7.607405e-001
5.900866324743416e-009	7.946205e-009	7.867822e-001
6.096178824743416e-009	1.461334e-008	8.128238e-001
6.291491324743416e-009	2.631476e-008	8.388655e-001
6.486803824743416e-009	4.645283e-008	8.649072e-001
6.682116324743415e-009	8.047207e-008	8.909488e-001
6.877428824743415e-009	1.369355e-007	9.169905e-001
7.072741324743415e-009	2.290905e-007	9.430322e-001
7.268053824743415e-009	3.596409e-007	9.690738e-001
7.304687499999999e-009	3.919866e-007	9.739583e-001
7.377954850513167e-009	4.740405e-007	9.837273e-001
7.499999999999999e-009	6.300659e-007	1.000000e+000
7.512204514948683e-009	6.492490e-007	1.000000e+000
7.536613544846049e-009	6.892801e-007	1.000000e+000
7.585431604640783e-009	7.782349e-007	1.000000e+000
7.683067724230249e-009	1.000763e-006	1.000000e+000
7.878339963409181e-009	1.609971e-006	1.000000e+000
8.073652463409181e-009	2.499340e-006	1.000000e+000
8.268964963409181e-009	3.829860e-006	1.000000e+000
8.464277463409181e-009	5.795855e-006	1.000000e+000
8.659589963409180e-009	8.666371e-006	1.000000e+000
8.854902463409180e-009	1.280962e-005	1.000000e+000
9.050214963409180e-009	1.872386e-005	1.000000e+000
9.245527463409180e-009	2.707602e-005	1.000000e+000
9.440839963409180e-009	3.874926e-005	1.000000e+000
9.636152463409179e-009	5.490104e-005	1.000000e+000
9.831464963409179e-009	7.703296e-005	1.000000e+000
1.002677746340918e-008	1.070738e-004	1.000000e+000
1.022208996340918e-008	1.474774e-004	1.000000e+000
1.041740246340918e-008	2.013355e-004	1.000000e+000
1.061271496340918e-008	2.725075e-004	1.000000e+000
1.080802746340918e-008	3.657672e-004	1.000000e+000
1.100333996340918e-008	4.869658e-004	1.000000e+000
1.119865246340918e-008	6.432107e-004	1.000000e+000
1.139396496340918e-008	8.430596e-004	1.000000e+000
1.158927746340918e-008	1.096726e-003	1.000000e+000
1.178458996340918e-008	1.416292e-003	1.000000e+000
1.197990246340918e-008	1.815929e-003	1.000000e+000
1.217521496340918e-008	2.312114e-003	1.000000e+000
1.237052746340918e-008	2.923835e-003	1.000000e+000
1.256583996340918e-008	3.672790e-003	1.000000e+000
1.276115246340918e-008	4.583550e-003	1.000000e+000
1.295646496340918e-008	5.683699e-003	1.000000e+000
1.315177746340918e-008	7.003921e-003	1.000000e+000
1.334708996340918e-008	8.578035e-003	1.000000e+000
1.354240246340918e-008	1.044297e-002	1.000000e+000
1.373771496340918e-008	1.263868e-002	1.000000e+000
1.393302746340918e-008	1.520791e-002	1.000000e+000
1.412833996340917e-008	1.819597e-002	1.000000e+000
1.432365246340917e-008	2.165036e-002	1.000000e+000
1.451896496340917e-008	2.562027e-002	1.000000e+000
1.471427746340917e-008	3.015605e-002	1.000000e+000
1.490958996340917e-008	3.530849e-002	1.000000e+000
1.510490246340918e-008	4.112816e-002	1.000000e+000
1.530021496340918e-008	4.766449e-002	1.000000e+000
1.549552746340918e-008	5.496492e-002	1.000000e+000
1.569083996340918e-008	6.307397e-002	1.000000e+000
1.588615246340918e-008	7.203224e-002	1.000000e+000
1.608146496340918e-008	8.187549e-002	1.000000e+000
1.627677746340918e-008	9.263363e-002	1.000000e+000
1.647208996340919e-008	1.043299e-001	1.000000e+000
1.666740246340919e-008	1.169801e-001	1.000000e+000
1.686271496340919e-008	1.305918e-001	1.000000e+000
1.705802746340919e-008	1.451638e-001	1.000000e+000
1.725333996340919e-008	1.606859e-001	1.000000e+000
1.744865246340919e-008	1.771383e-001	1.000000e+000
1.764396496340919e-008	1.944921e-001	1.000000e+000
1.783927746340920e-008	2.127092e-001	1.000000e+000
1.803458996340920e-008	2.317425e-001	1.000000e+000
1.822990246340920e-008	2.515370e-001	1.000000e+000
1.842521496340920e-008	2.720302e-001	1.000000e+000
1.862052746340920e-008	2.931531e-001	1.000000e+000
1.881583996340920e-008	3.148315e-001	1.000000e+000
1.901115246340920e-008	3.369869e-001	1.000000e+000
1.920646496340921e-008	3.595382e-001	1.000000e+000
1.940177746340921e-008	3.824027e-001	1.000000e+000
1.959708996340921e-008	4.054974e-001	1.000000e+000
1.979240246340921e-008	4.287404e-001	1.000000e+000
1.998771496340921e-008	4.520521e-001	1.000000e+000
2.018302746340921e-008	4.753559e-001	1.000000e+000
2.037833996340921e-008	4.985794e-001	1.000000e+000
2.057365246340922e-008	5.216549e-001	1.000000e+000
2.076896496340922e-008	5.445199e-001	1.000000e+000
2.096427746340922e-008	5.671171e-001	1.000000e+000
2.115958996340922e-008	5.893947e-001	1.000000e+000
2.135490246340922e-008	6.113061e-001	1.000000e+000
2.155021496340922e-008	6.328093e-001	1.000000e+000
2.174552746340922e-008	6.538666e-001	1.000000e+000
2.194083996340923e-008	6.744440e-001	1.000000e+000
2.213615246340923e-008	6.945103e-001	1.000000e+000
2.233146496340923e-008	7.140364e-001	1.000000e+000
2.252677746340923e-008	7.329948e-001	1.000000e+000
2.272208996340923e-008	7.513587e-001	1.000000e+000
2.291740246340923e-008	7.691017e-001	1.000000e+000
2.311271496340923e-008	7.861977e-001	1.000000e+000
2.330802746340924e-008	8.026201e-001	1.000000e+000
2.350333996340924e-008	8.183427e-001	1.000000e+000
2.369865246340924e-008	8.333396e-001	1.000000e+000
2.389396496340924e-008	8.475858e-001	1.000000e+000
2.408927746340924e-008	8.610579e-001	1.000000e+000
