time	V(-1)	V(1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.859374976587093e-015	0.000000e+000	7.812500e-007
1.171874995317419e-014	0.000000e+000	1.562500e-006
6.867187472560075e-012	0.000000e+000	9.156249e-004
1.372265619516698e-011	0.000000e+000	1.829687e-003
2.057812491777388e-011	0.000000e+000	2.743750e-003
2.743359364038078e-011	0.000000e+000	3.657812e-003
3.428906236298768e-011	0.000000e+000	4.571875e-003
4.114453108559458e-011	0.000000e+000	5.485937e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.404606014238293e-010	0.000000e+000	1.872808e-002
1.783236865829259e-010	0.000000e+000	2.377649e-002
2.133624804428022e-010	0.000000e+000	2.844833e-002
2.524063543223215e-010	0.000000e+000	3.365418e-002
2.929017790497871e-010	0.000000e+000	3.905357e-002
3.425937551043270e-010	0.000000e+000	4.567917e-002
3.978514658461798e-010	0.000000e+000	5.304686e-002
4.645797715152844e-010	0.000000e+000	6.194397e-002
5.403068817883078e-010	0.000000e+000	7.204092e-002
6.307358069221512e-010	0.000000e+000	8.409811e-002
7.079893810915631e-010	0.000000e+000	9.439858e-002
7.836459245555312e-010	0.000000e+000	1.044861e-001
8.648150329389569e-010	0.000000e+000	1.153087e-001
9.533839003307919e-010	0.000000e+000	1.271179e-001
1.051271809651851e-009	0.000000e+000	1.401696e-001
1.159241011369914e-009	0.000000e+000	1.545655e-001
1.278989389264997e-009	0.000000e+000	1.705319e-001
1.396557814006277e-009	0.000000e+000	1.862077e-001
1.506237047456242e-009	0.000000e+000	2.008316e-001
1.622814106771053e-009	0.000000e+000	2.163752e-001
1.745252822995477e-009	0.000000e+000	2.327004e-001
1.878826094198073e-009	0.000000e+000	2.505102e-001
2.021722799464016e-009	0.000000e+000	2.695630e-001
2.177735491332792e-009	0.000000e+000	2.903647e-001
2.313196997355117e-009	0.000000e+000	3.084263e-001
2.459900483234910e-009	0.000000e+000	3.279867e-001
2.607287995856687e-009	0.000000e+000	3.476384e-001
2.769490396530816e-009	0.000000e+000	3.692654e-001
2.937795248786174e-009	0.000000e+000	3.917060e-001
3.121752785466028e-009	0.000000e+000	4.162337e-001
3.302567428468483e-009	0.000000e+000	4.403423e-001
3.469663159949809e-009	0.000000e+000	4.626217e-001
3.654689523507861e-009	0.000000e+000	4.872919e-001
3.840326691547011e-009	0.000000e+000	5.120435e-001
4.044539683015803e-009	0.000000e+000	5.392720e-001
4.227764996987064e-009	0.000000e+000	5.637020e-001
4.422060865127239e-009	0.000000e+000	5.896081e-001
4.617703289019909e-009	0.000000e+000	6.156937e-001
4.828249797314218e-009	0.000000e+000	6.437666e-001
5.045663483572277e-009	0.000000e+000	6.727551e-001
5.245441077822036e-009	0.000000e+000	6.993921e-001
5.458755056163227e-009	0.000000e+000	7.278340e-001
