time	V(out)	V(n094)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.929687488293547e-015	0.000000e+000	3.906250e-007
5.859374976587093e-015	0.000000e+000	7.812500e-007
6.862165151151572e-012	0.000000e+000	9.149554e-004
1.371847092732656e-011	0.000000e+000	1.829129e-003
2.057477670350154e-011	0.000000e+000	2.743304e-003
2.743108247967653e-011	0.000000e+000	3.657478e-003
3.428738825585152e-011	0.000000e+000	4.571652e-003
4.114369403202650e-011	0.000000e+000	5.485826e-003
4.799999980820147e-011	0.000000e+000	6.400000e-003
9.599999961640293e-011	0.000000e+000	1.280000e-002
1.404606014236564e-010	0.000000e+000	1.872808e-002
1.783236865824396e-010	0.000000e+000	2.377649e-002
2.133624804419512e-010	0.000000e+000	2.844833e-002
2.524063542346291e-010	0.000000e+000	3.365418e-002
2.929017788970751e-010	0.000000e+000	3.905357e-002
3.425937548498207e-010	0.000000e+000	4.567917e-002
3.978514655120629e-010	0.000000e+000	5.304686e-002
4.645797710677467e-010	0.000000e+000	6.194397e-002
5.403068812387455e-010	0.000000e+000	7.204092e-002
6.307358062350067e-010	0.000000e+000	8.409811e-002
7.079893803692038e-010	0.000000e+000	9.439858e-002
7.836459236611360e-010	1.401298e-045	1.044861e-001
8.648150319715812e-010	2.522337e-044	1.153087e-001
9.533838991931447e-010	4.035740e-043	1.271179e-001
1.051271808406190e-009	7.920139e-042	1.401696e-001
1.159241009936822e-009	1.827531e-040	1.545655e-001
1.278989387682815e-009	2.616216e-039	1.705319e-001
1.396557812889038e-009	2.222501e-038	1.862077e-001
1.506237046328305e-009	1.706068e-037	2.008316e-001
1.622814105635589e-009	1.408289e-036	2.163752e-001
1.745252821730084e-009	1.277345e-035	2.327004e-001
1.878826092854386e-009	1.260228e-034	2.505102e-001
2.021722797969877e-009	1.355047e-033	2.695630e-001
2.177735489724566e-009	9.599019e-033	2.903647e-001
2.313196995441441e-009	5.484318e-032	3.084263e-001
2.459900481889268e-009	3.285872e-031	3.279867e-001
2.607287994033604e-009	2.013508e-030	3.476384e-001
2.769490394963839e-009	1.316966e-029	3.692654e-001
2.937795246810022e-009	8.977534e-029	3.917060e-001
3.121752783602816e-009	5.752391e-028	4.162337e-001
3.302567426918057e-009	2.841645e-027	4.403423e-001
3.469663158169166e-009	1.317477e-026	4.626217e-001
3.654689521797194e-009	6.530743e-026	4.872919e-001
3.840326689612186e-009	3.233238e-025	5.120435e-001
4.044539681067134e-009	1.480675e-024	5.392720e-001
4.227764994987585e-009	5.700172e-024	5.637020e-001
4.422060863015585e-009	2.274163e-023	5.896081e-001
4.617703286808835e-009	8.993309e-023	6.156937e-001
4.828249794968673e-009	3.718016e-022	6.437666e-001
5.045663481099977e-009	1.384737e-021	6.727551e-001
5.245441075231698e-009	4.617550e-021	6.993921e-001
5.458755053440721e-009	1.601878e-020	7.278340e-001
5.673038340546161e-009	5.475926e-020	7.564051e-001
5.903234374701468e-009	1.949757e-019	7.870979e-001
6.139853745656832e-009	6.445541e-019	8.186471e-001
6.361321752244211e-009	1.941666e-018	8.481762e-001
6.593822328680253e-009	5.993556e-018	8.791763e-001
6.829555108356639e-009	1.834950e-017	9.106073e-001
7.079883430092097e-009	4.973407e-017	9.439844e-001
7.241472718691572e-009	8.623458e-017	9.655297e-001
7.281792218401935e-009	1.006993e-016	9.709056e-001
7.362431217822660e-009	1.442332e-016	9.816575e-001
7.499999999999999e-009	2.394174e-016	1.000000e+000
7.513756878217733e-009	2.532776e-016	1.000000e+000
7.541270634653201e-009	2.834218e-016	1.000000e+000
7.596298147524137e-009	3.580266e-016	1.000000e+000
7.706353173266007e-009	6.008528e-016	1.000000e+000
7.926463224749750e-009	1.579637e-015	1.000000e+000
8.165171580565640e-009	4.011465e-015	1.000000e+000
8.402737421335067e-009	1.011854e-014	1.000000e+000
8.670384792129513e-009	2.692349e-014	1.000000e+000
8.922443892864879e-009	6.701946e-014	1.000000e+000
9.203252571980116e-009	1.777984e-013	1.000000e+000
9.479896087609663e-009	4.479536e-013	1.000000e+000
9.765674830771271e-009	1.107585e-012	1.000000e+000
1.003512079189851e-008	2.581231e-012	1.000000e+000
1.032786309669222e-008	6.283121e-012	1.000000e+000
1.061910649875866e-008	1.466446e-011	1.000000e+000
1.091207524875866e-008	3.328683e-011	1.000000e+000
1.119789959586512e-008	7.263525e-011	1.000000e+000
1.149086834586513e-008	1.579162e-010	1.000000e+000
1.178383709586513e-008	3.344691e-010	1.000000e+000
1.207680584586513e-008	6.926389e-010	1.000000e+000
1.236977459586513e-008	1.403875e-009	1.000000e+000
1.266274334586513e-008	2.787607e-009	1.000000e+000
1.295571209586513e-008	5.427405e-009	1.000000e+000
1.324868084586513e-008	1.036948e-008	1.000000e+000
1.354164959586513e-008	1.945560e-008	1.000000e+000
1.383461834586513e-008	3.587166e-008	1.000000e+000
1.412758709586513e-008	6.503564e-008	1.000000e+000
1.442055584586513e-008	1.160110e-007	1.000000e+000
1.471352459586513e-008	2.037192e-007	1.000000e+000
1.500649334586513e-008	3.523479e-007	1.000000e+000
1.529946209586513e-008	6.005167e-007	1.000000e+000
1.559243084586513e-008	1.008989e-006	1.000000e+000
1.588539959586513e-008	1.672002e-006	1.000000e+000
1.617836834586513e-008	2.733679e-006	1.000000e+000
1.647133709586513e-008	4.411426e-006	1.000000e+000
1.676430584586513e-008	7.028817e-006	1.000000e+000
1.705727459586513e-008	1.106113e-005	1.000000e+000
1.735024334586513e-008	1.719749e-005	1.000000e+000
1.764321209586513e-008	2.642443e-005	1.000000e+000
1.793618084586513e-008	4.013664e-005	1.000000e+000
1.822914959586514e-008	6.028155e-005	1.000000e+000
1.852211834586514e-008	8.954532e-005	1.000000e+000
1.881508709586514e-008	1.315885e-004	1.000000e+000
1.910805584586514e-008	1.913400e-004	1.000000e+000
1.940102459586514e-008	2.753579e-004	1.000000e+000
1.969399334586514e-008	3.922652e-004	1.000000e+000
1.998696209586514e-008	5.532666e-004	1.000000e+000
2.027993084586514e-008	7.727511e-004	1.000000e+000
2.057289959586514e-008	1.068980e-003	1.000000e+000
2.086586834586514e-008	1.464856e-003	1.000000e+000
2.115883709586514e-008	1.988762e-003	1.000000e+000
2.145180584586514e-008	2.675452e-003	1.000000e+000
2.174477459586514e-008	3.566969e-003	1.000000e+000
2.203774334586514e-008	4.713543e-003	1.000000e+000
2.233071209586514e-008	6.174439e-003	1.000000e+000
2.262368084586514e-008	8.018677e-003	1.000000e+000
2.291664959586514e-008	1.032558e-002	1.000000e+000
2.320961834586514e-008	1.318507e-002	1.000000e+000
2.350258709586514e-008	1.669759e-002	1.000000e+000
2.379555584586514e-008	2.097367e-002	1.000000e+000
2.408852459586515e-008	2.613300e-002	1.000000e+000
2.438149334586515e-008	3.230290e-002	1.000000e+000
2.467446209586515e-008	3.961629e-002	1.000000e+000
2.496743084586515e-008	4.820896e-002	1.000000e+000
2.526039959586515e-008	5.821633e-002	1.000000e+000
2.555336834586515e-008	6.976957e-002	1.000000e+000
2.584633709586515e-008	8.299129e-002	1.000000e+000
2.613930584586515e-008	9.799086e-002	1.000000e+000
2.643227459586515e-008	1.148596e-001	1.000000e+000
2.672524334586515e-008	1.336660e-001	1.000000e+000
2.701821209586515e-008	1.544509e-001	1.000000e+000
2.731118084586515e-008	1.772237e-001	1.000000e+000
2.760414959586515e-008	2.019589e-001	1.000000e+000
2.789711834586515e-008	2.285936e-001	1.000000e+000
2.819008709586515e-008	2.570266e-001	1.000000e+000
2.848305584586515e-008	2.871186e-001	1.000000e+000
2.877602459586515e-008	3.186936e-001	1.000000e+000
2.906899334586515e-008	3.515423e-001	1.000000e+000
2.936196209586515e-008	3.854265e-001	1.000000e+000
2.965493084586515e-008	4.200853e-001	1.000000e+000
2.994789959586516e-008	4.552417e-001	1.000000e+000
3.024086834586516e-008	4.906102e-001	1.000000e+000
3.053383709586516e-008	5.259050e-001	1.000000e+000
3.082680584586516e-008	5.608474e-001	1.000000e+000
3.111977459586516e-008	5.951740e-001	1.000000e+000
3.141274334586516e-008	6.286422e-001	1.000000e+000
3.170571209586516e-008	6.610364e-001	1.000000e+000
3.199868084586516e-008	6.921710e-001	1.000000e+000
3.229164959586516e-008	7.218930e-001	1.000000e+000
3.258461834586516e-008	7.500824e-001	1.000000e+000
3.287758709586516e-008	7.766507e-001	1.000000e+000
3.317055584586516e-008	8.015390e-001	1.000000e+000
3.346352459586516e-008	8.247139e-001	1.000000e+000
3.375649334586516e-008	8.461637e-001	1.000000e+000
3.404946209586516e-008	8.658943e-001	1.000000e+000
3.434243084586516e-008	8.839247e-001	1.000000e+000
3.463539959586516e-008	9.002841e-001	1.000000e+000
3.492836834586516e-008	9.150089e-001	1.000000e+000
3.522133709586516e-008	9.281425e-001	1.000000e+000
3.551430584586516e-008	9.397346e-001	1.000000e+000
3.580727459586517e-008	9.498422e-001	1.000000e+000
3.610024334586517e-008	9.585321e-001	1.000000e+000
3.639321209586517e-008	9.658827e-001	1.000000e+000
3.668618084586517e-008	9.719867e-001	1.000000e+000
3.697914959586517e-008	9.769528e-001	1.000000e+000
3.727211834586517e-008	9.809062e-001	1.000000e+000
3.756508709586517e-008	9.839882e-001	1.000000e+000
3.785805584586517e-008	9.863534e-001	1.000000e+000
3.815102459586517e-008	9.881662e-001	1.000000e+000
3.844399334586517e-008	9.895942e-001	1.000000e+000
3.873696209586517e-008	9.908015e-001	1.000000e+000
3.902993084586517e-008	9.919406e-001	1.000000e+000
3.932289959586517e-008	9.931445e-001	1.000000e+000
3.961586834586517e-008	9.945191e-001	1.000000e+000
3.990883709586517e-008	9.961370e-001	1.000000e+000
